Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,Début - lat.,Début - long.,Fin - lat.,Fin - long.
1,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,1,,,,0,0,1,0,0,1,Simple,,,,,,,
2,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,2,m,55,,0,1,0,0,1,1,Simple,,,,,,,
3,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,3,,,,0,0,1,0,0,1,Simple,,,,,,,
4,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,4,,,,0,0,1,0,0,1,Simple,,,,,,,
5,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,5,,,,0,0,1,0,0,1,Simple,,,,,,,
6,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,6,f,58,,0,0,1,0,0,1,Simple,,,,,,,
7,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,7,,,,0,0,1,0,0,1,Simple,,,,,,,
8,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,8,,,,0,0,1,0,0,1,Simple,,,,,,,
9,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,9,,,,0,0,1,0,0,1,Simple,,,,,,,
10,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,10,f,62,,0,0,1,0,0,1,Simple,,,,,,,
11,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,11,f,64,,0,0,1,0,0,1,Simple,,,,,,,
12,22,8,2000,Glandry,4750.536,6502.976,4750.527,6503.052,30,AB2,1,12,,,,0,0,1,0,0,1,Simple,,,,,,,
