Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,
1,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,1,m,44,,0,0,1,0,0,1,Simple,,,,
4,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,4,i,23,±20,0,0,1,0,0,1,Simple,,,,
5,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,5,,,,0,0,0,0,1,1,Simple,,,,
6,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,6,i,41,±40,0,0,0,0,1,1,Simple,,,,
7,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,7,f,47,,0,0,1,0,1,1,Simple,,,,
8,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,8,,,,0,0,0,0,1,1,Simple,,,,
9,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,30,AB2,1,9,,,,0,0,0,0,1,1,Simple,,,,
11,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,11,,,,0,0,1,0,1,1,Simple,,,,
13,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,13,f,110,,0,0,1,1,0,0,Simple,,,,
14,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,14,,,,0,0,1,0,0,0,Simple,,,,
15,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,15,,,,0,0,1,0,0,0,Simple,,,,
18,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,18,b1,69,,0,0,1,0,1,1,Simple,,,,
19,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,18,f,90,,0,0,1,0,1,1,Simple,,,,
20,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,18,f,32,,0,0,1,0,1,1,Simple,,,,
21,20,8,2001,Mcomeau,4750.417,6504.043,4750.417,6504.124,29,AB2,1,19,i,42,±40,0,0,0,0,1,1,Simple,,,,
23,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,1,m,47,,0,0,1,1,0,0,Simple,,,,
24,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,2,f,27,,0,0,1,0,0,0,Simple,,,,
25,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,3,,,,0,0,1,0,0,1,Simple,,,,
26,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,4,,,,0,0,1,0,1,1,Simple,,,,
27,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,5,,,,0,0,1,0,0,1,Simple,,,,
28,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,6,,,,0,0,1,0,0,1,Simple,,,,
29,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,7,,,,0,0,1,0,0,1,Simple,,,,
30,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,8,,,,0,0,1,0,0,1,Simple,,,,
31,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,9,,,,0,0,1,0,0,1,Simple,,,,
32,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,30,AB2,1,10,m,34,,0,0,1,0,0,1,Simple,,,,
33,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,29,AB2,1,11,i,43,±40,0,0,1,0,0,1,Simple,,,,
37,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,29,AB2,1,15,,,,0,0,1,0,0,1,Simple,,,,
38,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,29,AB2,1,16,m,105,,0,0,1,0,0,1,Simple,,,,
39,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,29,AB2,1,16,i,86,market,0,0,1,0,0,1,Simple,,,,
