Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,Début - lat.,Début - long.,Fin - lat.,Fin - long.
1,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,1,,,,0,0,1,0,0,1,simple,beaucoup de shelter,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
2,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,2,m,33,,0,0,1,0,0,1,simple,beaucoup de shelter,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
3,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,3,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
4,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,4,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
5,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,5,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
6,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,6,,,,0,0,1,0,0,1,simple,cailloux 1/2,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
7,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,7,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
8,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,8,f,46,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
9,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,9,f,62,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
10,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,9,m,52,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
11,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,9,f,46,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
12,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,10,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
14,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,12,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
17,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,15,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
18,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,16,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
19,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,17,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
20,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,18,,,,0,0,1,0,0,0,simple,,dur simple,,47.8425,65.05066667,47.8425,65.04916667
21,21,6,2000,Mcomeau,4750.55,6503.04,4750.55,6502.95,,AB1,1,19,f,46,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
23,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,1,m,53,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
24,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,2,f,46,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
25,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,3,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
26,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,4,f,36,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
27,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,5,i,,1,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
28,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,6,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
29,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,7,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
30,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,8,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
31,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,9,,,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
32,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,10,m,13,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
34,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,12,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
35,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,13,,,,0,0,1,0,0,0,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
36,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,14,,,,0,0,1,0,0,0,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
37,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,15,m,34,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
38,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,16,m,62,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
39,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,17,f,51,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.8425,65.05066667,47.8425,65.04916667
40,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,18,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
41,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,19,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
42,21,6,2000,Elandry,4750.55,6503.04,4750.55,6502.95,,AB1,1,20,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.8425,65.05066667,47.8425,65.04916667
43,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,1,f,44,,0,0,1,0,0,1,simple,,dur cailloux complexe,,47.84283333,65.05066667,47.843,65.04933333
44,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,2,,,,0,0,1,0,1,0,simple,,dur gravier simple,,47.84283333,65.05066667,47.843,65.04933333
