Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond
2,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,33,AB1,1,2,,,,0,0,1,0,1,1,Simple,,
3,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,33,AB1,1,3,i,70,canner,0,0,1,0,1,1,Simple,,
4,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,32,AB1,1,4,,,,0,0,0,1,1,1,Simple,,
7,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,32,AB1,1,7,i,69,canner,0,0,1,0,0,1,Simple,,
9,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,33,AB1,1,9,,,,0,0,1,0,0,1,Simple,,
10,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,33,AB1,1,10,,,,0,0,1,0,0,1,Simple,,
12,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,33,AB1,1,12,i,85,market,0,0,1,0,0,1,Simple,,
18,18,6,2002,Mouellet,4750.243,6505.391,4750.259,6505.300,31,AB1,1,18,i,90,market,0,0,1,0,0,1,Simple,,
21,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,33,AB1,1,1,,,,0,0,1,0,0,1,Simple,,
22,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,33,AB1,1,2,,,,0,0,1,0,0,1,Simple,,
23,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,33,AB1,1,3,f,32,,0,0,1,0,0,1,Simple,,
26,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,32,AB1,1,6,,,,0,0,1,0,0,1,Simple,,
27,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,32,AB1,1,7,m,32,,0,0,1,0,0,1,Simple,,
28,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,32,AB1,1,8,f,75,,0,0,1,0,1,1,Simple,,
29,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,33,AB1,1,9,,,,0,0,0,0,1,1,Simple,,
32,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,33,AB1,1,12,,,,0,0,1,0,0,1,Simple,,
33,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,33,AB1,1,13,,,,0,0,1,0,0,1,Simple,,
36,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,31,AB1,1,16,,,,0,0,1,0,0,1,Simple,,
38,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,31,AB1,1,18,,,,0,0,1,0,1,1,Simple,,
39,18,6,2002,Mcomeau,4750.243,6505.391,4750.259,6505.300,31,AB1,1,19,,,,0,0,1,0,1,1,Simple,,
41,18,6,2002,Rvienneau,4750.237,6505.27,4750.244,6505.186,29,AB1,2,1,f,32,,0,0,1,0,0,1,Simple,,
47,18,6,2002,Rvienneau,4750.237,6505.27,4750.244,6505.186,31,AB1,2,7,m,19,,0,0,1,0,0,1,Simple,,
48,18,6,2002,Rvienneau,4750.237,6505.27,4750.244,6505.186,30,AB1,2,7,m,26,,0,0,1,0,0,1,Simple,,
52,18,6,2002,Rvienneau,4750.237,6505.27,4750.244,6505.186,32,AB1,2,11,f,33,,0,0,1,0,0,1,Simple,,
