Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire
171,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,1,f,66,,0,0,0,1,1,,0,Simple,
172,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,2,,,,0,0,0,0,1,,0,Simple,
173,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,3,,,,0,0,0,0,1,,0,Simple,
174,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,4,,,,0,0,0,0,1,,0,Simple,
175,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,5,,,,0,0,0,0,1,,0,Simple,
176,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,6,,,,0,0,0,0,1,,0,Simple,
177,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,7,,,,0,0,0,0,1,,0,Simple,
178,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,8,,,,0,0,0,0,1,,0,Simple,
179,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,9,,,,0,0,0,1,1,,0,Simple,
180,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,10,,,,0,0,0,1,1,,0,Simple,
181,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,11,,,,0,0,0,1,1,,0,Simple,
182,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,12,,,,0,0,0,0,1,,0,Simple,
183,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,13,,,,0,0,0,0,1,,0,Simple,
184,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,14,,,,0,0,0,0,1,,0,Simple,
185,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,15,,,,0,0,0,0,1,,0,Simple,
186,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,16,,,,0,0,0,1,1,,0,Simple,
187,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,17,,,,0,0,0,0,1,,0,Simple,
188,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,18,m,58,,0,0,0,1,1,,0,Simple,
189,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,19,,,,0,0,0,1,1,,0,Simple,
190,3,7,2003,Bcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,20,,,,0,0,0,0,1,,0,Simple,LS
191,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,1,i,69,,0,0,0,1,1,,0,Simple,
192,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,2,,,,0,0,0,0,1,,0,Simple,
193,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,3,,,,0,0,0,0,1,,0,Simple,
194,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,4,,,,0,0,0,0,1,,0,Simple,
195,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,5,,,,0,0,0,0,1,,0,Simple,
196,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,6,,,,0,0,0,0,1,,0,Simple,
197,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,7,,,,0,0,0,0,1,,0,Simple,
198,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,8,,,,0,0,0,0,1,,0,Simple,
199,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,9,,,,0,0,0,0,1,,1,Simple,LS
200,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,10,,,,0,0,0,0,1,,0,Simple,
201,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,11,b3,72,,0,0,0,1,1,,1,Simple,
202,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,12,m,31,,0,0,0,0,1,,1,Simple,
203,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,13,,,,0,0,0,0,1,,0,Simple,
204,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,14,,,,0,0,0,0,1,,0,Simple,
205,3,7,2003,Mcomeau,4750.609,6452.875,4750.61,6452.797,24,I2,1,15,,,,0,0,0,1,1,,1,Simple,
