Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,3,7,2009,Rvienneau,,,,,24,I2,1,1,m,29,,,,,,,,,,,
2,3,7,2009,Rvienneau,,,,,24,I2,1,1,m,20,,,,,,,,,,,
3,3,7,2009,Rvienneau,,,,,24,I2,1,1,m,49,,,,,,,,,,,
4,3,7,2009,Rvienneau,,,,,24,I2,1,1,f,48,,,,,,,,,,,
5,3,7,2009,Rvienneau,,,,,24,I2,1,2,i,17,,,,,,,,,,,
6,3,7,2009,Rvienneau,,,,,24,I2,1,3,f,29,,,,,,,,,,,
7,3,7,2009,Rvienneau,,,,,24,I2,1,3,f,30,,,,,,,,,,,
8,3,7,2009,Rvienneau,,,,,24,I2,1,4,m,28,,,,,,,,,,,
9,3,7,2009,Rvienneau,,,,,24,I2,1,4,i,9,,,,,,,,,,,
10,3,7,2009,Rvienneau,,,,,24,I2,1,4,f,30,,,,,,,,,,,
11,3,7,2009,Rvienneau,,,,,24,I2,1,5,m,46,,,,,,,,,,,
12,3,7,2009,Rvienneau,,,,,24,I2,1,5,f,34,,,,,,,,,,,
13,3,7,2009,Rvienneau,,,,,24,I2,1,5,m,31,,,,,,,,,,,
14,3,7,2009,Rvienneau,,,,,24,I2,1,5,m,65,,,,,,,,,,,
15,3,7,2009,Rvienneau,,,,,24,I2,1,6,f,30,,,,,,,,,,,
16,3,7,2009,Rvienneau,,,,,24,I2,1,7,f,29,,,,,,,,,,,
17,3,7,2009,Rvienneau,,,,,24,I2,1,8,m,49,,,,,,,,,,,
18,3,7,2009,Rvienneau,,,,,24,I2,1,8,f,65,,,,,,,,,,,
19,3,7,2009,Rvienneau,,,,,24,I2,1,9,f,70,,,,,,,,,,,
20,3,7,2009,Rvienneau,,,,,24,I2,1,10,m,44,,,,,,,,,,,
21,3,7,2009,Rvienneau,,,,,24,I2,1,11,,,,,,,,,,,,,
22,3,7,2009,Rvienneau,,,,,24,I2,1,12,i,17,,,,,,,,,,,
23,3,7,2009,Rvienneau,,,,,24,I2,1,12,m,22,,,,,,,,,,,
24,3,7,2009,Rvienneau,,,,,24,I2,1,12,f,27,,,,,,,,,,,
25,3,7,2009,Rvienneau,,,,,24,I2,1,12,f,25,,,,,,,,,,,
26,3,7,2009,Rvienneau,,,,,24,I2,1,13,m,24,,,,,,,,,,,
27,3,7,2009,Rvienneau,,,,,24,I2,1,13,m,32,,,,,,,,,,,
28,3,7,2009,Rvienneau,,,,,24,I2,1,14,m,55,,,,,,,,,,,
