Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,
1,7,7,2010,Mcomeau,,,,,26,I2,1,1,f,55,,,,,,,,,,,,
2,7,7,2010,Mcomeau,,,,,26,I2,1,1,f,55,,,,,,,,,,,,
3,7,7,2010,Mcomeau,,,,,26,I2,1,2,m,45,,,,,,,,,,,,
4,7,7,2010,Mcomeau,,,,,26,I2,1,2,i,18,,,,,,,,,,,,
5,7,7,2010,Mcomeau,,,,,26,I2,1,3,f,32,,,,,,,,,,,,
6,7,7,2010,Mcomeau,,,,,26,I2,1,4,f,31,,,,,,,,,,,,
7,7,7,2010,Mcomeau,,,,,26,I2,1,4,f,36,,,,,,,,,,,,
8,7,7,2010,Mcomeau,,,,,26,I2,1,5,m,33,,,,,,,,,,,,
9,7,7,2010,Mcomeau,,,,,26,I2,1,5,m,40,,,,,,,,,,,,
10,7,7,2010,Mcomeau,,,,,26,I2,1,6,m,30,,,,,,,,,,,,
11,7,7,2010,Mcomeau,,,,,26,I2,1,6,f,59,,,,,,,,,,,,
12,7,7,2010,Mcomeau,,,,,26,I2,1,7,f,47,,,,,,,,,,,,
13,7,7,2010,Mcomeau,,,,,26,I2,1,7,m,52,,,,,,,,,,,,
14,7,7,2010,Mcomeau,,,,,26,I2,1,7,m,43,,,,,,,,,,,,
16,7,7,2010,Mcomeau,,,,,26,I2,1,9,f,34,,,,,,,,,,,,
17,7,7,2010,Mcomeau,,,,,26,I2,1,9,f,70,,,,,,,,,,,,
18,7,7,2010,Mcomeau,,,,,26,I2,1,9,f,56,,,,,,,,,,,,
19,7,7,2010,Mcomeau,,,,,26,I2,1,9,f,61,,,,,,,,,,,,
20,7,7,2010,Mcomeau,,,,,26,I2,1,9,f,38,,,,,,,,,,,,
21,7,7,2010,Mcomeau,,,,,26,I2,1,10,f,30,,,,,,,,,,,,
22,7,7,2010,Mcomeau,,,,,26,I2,1,10,i,16,,,,,,,,,,,,
23,7,7,2010,Mcomeau,,,,,26,I2,1,10,m,64,,,,,,,,,,,,
24,7,7,2010,Mcomeau,,,,,26,I2,1,10,m,68,,,,,,,,,,,,
25,7,7,2010,Mcomeau,,,,,26,I2,1,10,f,45,,,,,,,,,,,,
26,7,7,2010,Mcomeau,,,,,26,I2,1,11,f,47,,,,,,,,,,,,
