Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca
1,5,7,2011,Mcomeau,,,,,28,I2,1,1,m,34,,,,,,,,
2,5,7,2011,Mcomeau,,,,,28,I2,1,1,f,24,,,,,,,,
3,5,7,2011,Mcomeau,,,,,28,I2,1,2,m,38,,,,,,,,
4,5,7,2011,Mcomeau,,,,,28,I2,1,2,m,30,,,,,,,,
5,5,7,2011,Mcomeau,,,,,28,I2,1,2,m,32,,,,,,,,
6,5,7,2011,Mcomeau,,,,,28,I2,1,2,f,45,,,,,,,,
7,5,7,2011,Mcomeau,,,,,28,I2,1,3,f,67,,,,,,,,
8,5,7,2011,Mcomeau,,,,,28,I2,1,3,m,62,,,,,,,,
9,5,7,2011,Mcomeau,,,,,28,I2,1,3,f,39,,,,,,,,
10,5,7,2011,Mcomeau,,,,,28,I2,1,3,i,16,,,,,,,,
11,5,7,2011,Mcomeau,,,,,28,I2,1,4,f,40,,,,,,,,
12,5,7,2011,Mcomeau,,,,,28,I2,1,4,i,15,,,,,,,,
13,5,7,2011,Mcomeau,,,,,28,I2,1,4,i,14,,,,,,,,
14,5,7,2011,Mcomeau,,,,,28,I2,1,4,m,20,,,,,,,,
15,5,7,2011,Mcomeau,,,,,28,I2,1,4,m,45,,,,,,,,
16,5,7,2011,Mcomeau,,,,,28,I2,1,5,m,31,,,,,,,,
17,5,7,2011,Mcomeau,,,,,28,I2,1,5,f,68,,,,,,,,
18,5,7,2011,Mcomeau,,,,,28,I2,1,5,m,33,,,,,,,,
19,5,7,2011,Mcomeau,,,,,28,I2,1,5,f,70,,,,,,,,
20,5,7,2011,Mcomeau,,,,,28,I2,1,5,m,26,,,,,,,,
21,5,7,2011,Mcomeau,,,,,28,I2,1,5,i,13,,,,,,,,
22,5,7,2011,Mcomeau,,,,,28,I2,1,5,f,37,,,,,,,,
23,5,7,2011,Mcomeau,,,,,28,I2,1,6,i,17,,,,,,,,
24,5,7,2011,Mcomeau,,,,,28,I2,1,6,m,23,,,,,,,,
25,5,7,2011,Mcomeau,,,,,28,I2,1,6,m,27,,,,,,,,
26,5,7,2011,Mcomeau,,,,,28,I2,1,6,f,37,,,,,,,,
27,5,7,2011,Mcomeau,,,,,28,I2,1,6,f,72,,,,,,,,
28,5,7,2011,Mcomeau,,,,,28,I2,1,7,m,34,,,,,,,,
29,5,7,2011,Mcomeau,,,,,28,I2,1,8,f,24,,,,,,,,
30,5,7,2011,Mcomeau,,,,,28,I2,1,8,i,15,,,,,,,,
31,5,7,2011,Mcomeau,,,,,28,I2,1,8,f,55,,,,,,,,
32,5,7,2011,Mcomeau,,,,,28,I2,1,8,m,22,,,,,,,,
33,5,7,2011,Mcomeau,,,,,28,I2,1,9,f,55,,,,,,,,
34,5,7,2011,Mcomeau,,,,,28,I2,1,9,m,24,,,,,,,,
35,5,7,2011,Mcomeau,,,,,28,I2,1,10,i,18,,,,,,,,
36,5,7,2011,Mcomeau,,,,,28,I2,1,10,i,16,,,,,,,,
37,5,7,2011,Mcomeau,,,,,28,I2,1,11,f,46,,,,,,,,
38,5,7,2011,Mcomeau,,,,,28,I2,1,11,f,56,,,,,,,,
39,5,7,2011,Mcomeau,,,,,28,I2,1,11,m,46,,,,,,,,
40,5,7,2011,Mcomeau,,,,,28,I2,1,11,f,46,,,,,,,,
41,5,7,2011,Mcomeau,,,,,28,I2,1,11,f,54,,,,,,,,
42,5,7,2011,Mcomeau,,,,,28,I2,1,11,i,14,,,,,,,,
43,5,7,2011,Mcomeau,,,,,28,I2,1,11,f,56,,,,,,,,
44,5,7,2011,Mcomeau,,,,,28,I2,1,11,f,28,,,,,,,,
45,5,7,2011,Mcomeau,,,,,28,I2,1,11,m,22,,,,,,,,
46,5,7,2011,Mcomeau,,,,,28,I2,1,11,i,9,,,,,,,,
47,5,7,2011,Mcomeau,,,,,28,I2,1,12,m,40,,,,,,,,
48,5,7,2011,Mcomeau,,,,,28,I2,1,13,m,63,,,,,,,,
49,5,7,2011,Mcomeau,,,,,28,I2,1,13,m,44,,,,,,,,
50,5,7,2011,Mcomeau,,,,,28,I2,1,13,m,48,,,,,,,,
51,5,7,2011,Mcomeau,,,,,28,I2,1,13,i,14,,,,,,,,
52,5,7,2011,Mcomeau,,,,,28,I2,1,13,m,22,,,,,,,,
53,5,7,2011,Mcomeau,,,,,28,I2,1,13,i,16,,,,,,,,
54,5,7,2011,Mcomeau,,,,,28,I2,1,13,i,17,,,,,,,,
55,5,7,2011,Mcomeau,,,,,28,I2,1,13,f,36,,,,,,,,
56,5,7,2011,Mcomeau,,,,,28,I2,1,13,f,46,,,,,,,,
57,5,7,2011,Mcomeau,,,,,28,I2,1,13,m,53,,,,,,,,
58,5,7,2011,Mcomeau,,,,,28,I2,1,14,m,52,,,,,,,,
59,5,7,2011,Mcomeau,,,,,28,I2,1,14,m,27,,,,,,,,
60,5,7,2011,Mcomeau,,,,,28,I2,1,14,m,56,,,,,,,,
61,5,7,2011,Mcomeau,,,,,28,I2,1,14,m,36,,,,,,,,
62,5,7,2011,Mcomeau,,,,,28,I2,1,15,m,32,,,,,,,,
63,5,7,2011,Mcomeau,,,,,28,I2,1,15,m,78,,,,,,,,
64,5,7,2011,Mcomeau,,,,,28,I2,1,16,m,42,,,,,,,,
65,5,7,2011,Mcomeau,,,,,28,I2,1,16,f,60,,,,,,,,
66,5,7,2011,Mcomeau,,,,,28,I2,1,16,m,40,,,,,,,,
68,5,7,2011,Mcomeau,,,,,28,I2,1,18,f,26,,,,,,,,
69,5,7,2011,Mcomeau,,,,,28,I2,1,18,m,26,,,,,,,,
70,5,7,2011,Mcomeau,,,,,28,I2,1,18,f,56,,,,,,,,
71,5,7,2011,Mcomeau,,,,,28,I2,1,18,m,47,,,,,,,,
72,5,7,2011,Bcomeau,,,,,28,I2,1,1,,,,,,,,,,
73,5,7,2011,Bcomeau,,,,,28,I2,1,2,,,,,,,,,,
74,5,7,2011,Bcomeau,,,,,28,I2,1,3,m,27,,,,,,,,
75,5,7,2011,Bcomeau,,,,,28,I2,1,4,m,68,,,,,,,,
76,5,7,2011,Bcomeau,,,,,28,I2,1,5,m,65,,,,,,,,
77,5,7,2011,Bcomeau,,,,,28,I2,1,5,m,61,,,,,,,,
78,5,7,2011,Bcomeau,,,,,28,I2,1,5,m,38,,,,,,,,
79,5,7,2011,Bcomeau,,,,,28,I2,1,6,f,55,,,,,,,,
80,5,7,2011,Bcomeau,,,,,28,I2,1,7,m,20,,,,,,,,
81,5,7,2011,Bcomeau,,,,,28,I2,1,7,i,15,,,,,,,,
82,5,7,2011,Bcomeau,,,,,28,I2,1,7,i,12,,,,,,,,
83,5,7,2011,Bcomeau,,,,,28,I2,1,7,f,45,,,,,,,,
84,5,7,2011,Bcomeau,,,,,28,I2,1,7,m,44,,,,,,,,
85,5,7,2011,Bcomeau,,,,,28,I2,1,7,b3,75,,,,,,,,
86,5,7,2011,Bcomeau,,,,,28,I2,1,7,i,17,,,,,,,,
87,5,7,2011,Bcomeau,,,,,28,I2,1,8,f,60,,,,,,,,
88,5,7,2011,Bcomeau,,,,,28,I2,1,9,m,56,,,,,,,,
89,5,7,2011,Bcomeau,,,,,28,I2,1,9,f,69,,,,,,,,
90,5,7,2011,Bcomeau,,,,,28,I2,1,9,f,24,,,,,,,,
91,5,7,2011,Bcomeau,,,,,28,I2,1,9,i,12,,,,,,,,
92,5,7,2011,Bcomeau,,,,,28,I2,1,9,i,16,,,,,,,,
93,5,7,2011,Bcomeau,,,,,28,I2,1,9,m,28,,,,,,,,
94,5,7,2011,Bcomeau,,,,,28,I2,1,9,m,40,,,,,,,,
95,5,7,2011,Bcomeau,,,,,28,I2,1,10,f,65,,,,,,,,
96,5,7,2011,Bcomeau,,,,,28,I2,1,10,f,31,,,,,,,,
97,5,7,2011,Bcomeau,,,,,28,I2,1,10,i,17,,,,,,,,
98,5,7,2011,Bcomeau,,,,,28,I2,1,10,i,12,,,,,,,,
99,5,7,2011,Bcomeau,,,,,28,I2,1,10,i,17,,,,,,,,
100,5,7,2011,Bcomeau,,,,,28,I2,1,11,m,27,,,,,,,,
101,5,7,2011,Bcomeau,,,,,28,I2,1,11,i,16,,,,,,,,
102,5,7,2011,Bcomeau,,,,,28,I2,1,11,m,40,,,,,,,,
103,5,7,2011,Bcomeau,,,,,28,I2,1,11,m,22,,,,,,,,
104,5,7,2011,Bcomeau,,,,,28,I2,1,11,f,60,,,,,,,,
105,5,7,2011,Bcomeau,,,,,28,I2,1,11,m,31,,,,,,,,
106,5,7,2011,Bcomeau,,,,,28,I2,1,12,f,55,,,,,,,,
107,5,7,2011,Bcomeau,,,,,28,I2,1,12,f,25,,,,,,,,
108,5,7,2011,Bcomeau,,,,,28,I2,1,12,m,40,,,,,,,,
109,5,7,2011,Bcomeau,,,,,28,I2,1,12,m,20,,,,,,,,
110,5,7,2011,Bcomeau,,,,,28,I2,1,12,f,70,,,,,,,,
111,5,7,2011,Bcomeau,,,,,28,I2,1,13,i,18,,,,,,,,
112,5,7,2011,Bcomeau,,,,,28,I2,1,13,f,36,,,,,,,,
113,5,7,2011,Bcomeau,,,,,28,I2,1,13,i,12,,,,,,,,
114,5,7,2011,Bcomeau,,,,,28,I2,1,13,f,40,,,,,,,,
115,5,7,2011,Bcomeau,,,,,28,I2,1,13,i,12,,,,,,,,
116,5,7,2011,Bcomeau,,,,,28,I2,1,13,f,66,,,,,,,,
117,5,7,2011,Bcomeau,,,,,28,I2,1,14,f,54,,,,,,,,
118,5,7,2011,Bcomeau,,,,,28,I2,1,14,f,30,,,,,,,,
119,5,7,2011,Bcomeau,,,,,28,I2,1,15,m,81,,,,,,,,
120,5,7,2011,Bcomeau,,,,,28,I2,1,15,f,55,,,,,,,,
121,5,7,2011,Bcomeau,,,,,28,I2,1,15,i,17,,,,,,,,
122,5,7,2011,Bcomeau,,,,,28,I2,1,16,i,12,,,,,,,,
123,5,7,2011,Bcomeau,,,,,28,I2,1,16,f,65,,,,,,,,
124,5,7,2011,Bcomeau,,,,,28,I2,1,16,f,25,,,,,,,,
125,5,7,2011,Mcomeau,,,,,22,I2,2,1,m,23,,,,,,,,
126,5,7,2011,Mcomeau,,,,,22,I2,2,1,f,54,,,,,,,,
127,5,7,2011,Mcomeau,,,,,22,I2,2,1,m,35,,,,,,,,
128,5,7,2011,Mcomeau,,,,,22,I2,2,1,m,45,,,,,,,,
129,5,7,2011,Mcomeau,,,,,22,I2,2,2,m,31,,,,,,,,
130,5,7,2011,Mcomeau,,,,,22,I2,2,2,f,72,,,,,,,,
131,5,7,2011,Mcomeau,,,,,22,I2,2,2,f,65,,,,,,,,
132,5,7,2011,Mcomeau,,,,,22,I2,2,2,f,52,,,,,,,,
133,5,7,2011,Mcomeau,,,,,22,I2,2,2,m,30,,,,,,,,
134,5,7,2011,Mcomeau,,,,,22,I2,2,2,m,38,,,,,,,,
135,5,7,2011,Mcomeau,,,,,22,I2,2,3,i,13,,,,,,,,
136,5,7,2011,Mcomeau,,,,,22,I2,2,3,m,52,,,,,,,,
137,5,7,2011,Mcomeau,,,,,22,I2,2,3,m,27,,,,,,,,
138,5,7,2011,Mcomeau,,,,,22,I2,2,3,i,17,,,,,,,,
139,5,7,2011,Mcomeau,,,,,22,I2,2,4,m,21,,,,,,,,
140,5,7,2011,Mcomeau,,,,,22,I2,2,4,m,22,,,,,,,,
141,5,7,2011,Mcomeau,,,,,22,I2,2,4,i,15,,,,,,,,
142,5,7,2011,Mcomeau,,,,,22,I2,2,4,f,45,,,,,,,,
143,5,7,2011,Mcomeau,,,,,22,I2,2,4,m,27,,,,,,,,
144,5,7,2011,Mcomeau,,,,,22,I2,2,4,f,37,,,,,,,,
145,5,7,2011,Mcomeau,,,,,22,I2,2,4,f,60,,,,,,,,
146,5,7,2011,Mcomeau,,,,,22,I2,2,4,m,41,,,,,,,,
147,5,7,2011,Mcomeau,,,,,22,I2,2,4,i,15,,,,,,,,
148,5,7,2011,Mcomeau,,,,,22,I2,2,4,i,15,,,,,,,,
149,5,7,2011,Mcomeau,,,,,22,I2,2,4,m,29,,,,,,,,
150,5,7,2011,Mcomeau,,,,,22,I2,2,4,i,13,,,,,,,,
151,5,7,2011,Mcomeau,,,,,22,I2,2,4,i,12,,,,,,,,
152,5,7,2011,Mcomeau,,,,,22,I2,2,5,m,32,,,,,,,,
153,5,7,2011,Mcomeau,,,,,22,I2,2,5,m,31,,,,,,,,
154,5,7,2011,Mcomeau,,,,,22,I2,2,5,f,33,,,,,,,,
155,5,7,2011,Mcomeau,,,,,22,I2,2,5,m,23,,,,,,,,
156,5,7,2011,Mcomeau,,,,,22,I2,2,5,f,59,,,,,,,,
157,5,7,2011,Mcomeau,,,,,22,I2,2,6,f,57,,,,,,,,
158,5,7,2011,Mcomeau,,,,,22,I2,2,6,f,27,,,,,,,,
159,5,7,2011,Mcomeau,,,,,22,I2,2,6,m,46,,,,,,,,
160,5,7,2011,Mcomeau,,,,,22,I2,2,7,f,47,,,,,,,,
161,5,7,2011,Mcomeau,,,,,22,I2,2,7,i,9,,,,,,,,
162,5,7,2011,Mcomeau,,,,,22,I2,2,7,i,13,,,,,,,,
163,5,7,2011,Mcomeau,,,,,22,I2,2,7,f,48,,,,,,,,
164,5,7,2011,Mcomeau,,,,,22,I2,2,8,i,13,,,,,,,,
165,5,7,2011,Mcomeau,,,,,22,I2,2,8,m,38,,,,,,,,
166,5,7,2011,Mcomeau,,,,,22,I2,2,8,i,11,,,,,,,,
167,5,7,2011,Mcomeau,,,,,22,I2,2,8,i,9,,,,,,,,
168,5,7,2011,Mcomeau,,,,,22,I2,2,9,,,,,,,,,,
169,5,7,2011,Mcomeau,,,,,22,I2,2,10,i,15,,,,,,,,
170,5,7,2011,Mcomeau,,,,,22,I2,2,10,f,52,,,,,,,,
171,5,7,2011,Mcomeau,,,,,22,I2,2,10,i,13,,,,,,,,
172,5,7,2011,Mcomeau,,,,,22,I2,2,10,f,38,,,,,,,,
173,5,7,2011,Mcomeau,,,,,22,I2,2,10,i,18,,,,,,,,
174,5,7,2011,Mcomeau,,,,,22,I2,2,10,f,43,,,,,,,,
175,5,7,2011,Mcomeau,,,,,22,I2,2,10,b3,70,,,,,,,,
176,5,7,2011,Mcomeau,,,,,22,I2,2,11,m,39,,,,,,,,
177,5,7,2011,Mcomeau,,,,,22,I2,2,11,m,31,,,,,,,,
