REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),
CR,1,7,7,2015,Mcomeau,25,I2,1,1,f,82,
CR,2,7,7,2015,Mcomeau,25,I2,1,1,f,22,
CR,3,7,7,2015,Mcomeau,25,I2,1,1,i,11,
CR,4,7,7,2015,Mcomeau,25,I2,1,1,i,18,
CR,5,7,7,2015,Mcomeau,25,I2,1,1,f,46,
CR,6,7,7,2015,Mcomeau,25,I2,1,1,i,15,
CR,7,7,7,2015,Mcomeau,25,I2,1,1,i,10,
CR,8,7,7,2015,Mcomeau,25,I2,1,1,f,56,
CR,9,7,7,2015,Mcomeau,25,I2,1,1,f,43,
CR,10,7,7,2015,Mcomeau,25,I2,1,1,f,27,
CR,11,7,7,2015,Mcomeau,25,I2,1,1,f,26,
CR,12,7,7,2015,Mcomeau,25,I2,1,1,m,55,
CR,13,7,7,2015,Mcomeau,25,I2,1,1,i,11,
CR,14,7,7,2015,Mcomeau,25,I2,1,1,m,21,
CR,15,7,7,2015,Mcomeau,25,I2,1,1,i,15,
CR,16,7,7,2015,Mcomeau,25,I2,1,1,i,19,
CR,17,7,7,2015,Mcomeau,25,I2,1,1,i,18,
CR,18,7,7,2015,Mcomeau,25,I2,1,1,i,17,
CR,19,7,7,2015,Mcomeau,25,I2,1,1,i,18,
CR,20,7,7,2015,Mcomeau,25,I2,1,1,m,39,
CR,21,7,7,2015,Mcomeau,25,I2,1,1,i,10,
CR,22,7,7,2015,Mcomeau,25,I2,1,1,i,12,
CR,23,7,7,2015,Mcomeau,25,I2,1,1,m,23,
CR,24,7,7,2015,Mcomeau,25,I2,1,2,i,11,
CR,25,7,7,2015,Mcomeau,25,I2,1,2,f,22,
CR,26,7,7,2015,Mcomeau,25,I2,1,2,i,15,
CR,27,7,7,2015,Mcomeau,25,I2,1,2,i,16,
CR,28,7,7,2015,Mcomeau,25,I2,1,2,i,13,
CR,29,7,7,2015,Mcomeau,25,I2,1,2,f,26,
CR,30,7,7,2015,Mcomeau,25,I2,1,2,f,22,
CR,31,7,7,2015,Mcomeau,25,I2,1,2,f,27,
CR,32,7,7,2015,Mcomeau,25,I2,1,2,m,21,
CR,33,7,7,2015,Mcomeau,25,I2,1,2,i,15,
CR,34,7,7,2015,Mcomeau,25,I2,1,2,m,32,
CR,35,7,7,2015,Mcomeau,25,I2,1,2,f,34,
CR,36,7,7,2015,Mcomeau,25,I2,1,3,f,48,
CR,37,7,7,2015,Mcomeau,25,I2,1,3,m,28,
CR,38,7,7,2015,Mcomeau,25,I2,1,3,m,42,
CR,39,7,7,2015,Mcomeau,25,I2,1,3,f,32,
CR,40,7,7,2015,Mcomeau,25,I2,1,3,i,11,
CR,41,7,7,2015,Mcomeau,25,I2,1,3,i,11,
CR,42,7,7,2015,Mcomeau,25,I2,1,3,i,12,
CR,43,7,7,2015,Mcomeau,25,I2,1,3,f,22,
CR,44,7,7,2015,Mcomeau,25,I2,1,3,m,32,
CR,45,7,7,2015,Mcomeau,25,I2,1,3,i,12,
CR,46,7,7,2015,Mcomeau,25,I2,1,3,f,33,
CR,47,7,7,2015,Mcomeau,25,I2,1,3,i,12,
CR,48,7,7,2015,Mcomeau,25,I2,1,3,m,24,
CR,49,7,7,2015,Mcomeau,25,I2,1,3,f,23,
CR,50,7,7,2015,Mcomeau,25,I2,1,3,i,12,
CR,51,7,7,2015,Mcomeau,25,I2,1,3,i,9,
CR,52,7,7,2015,Mcomeau,25,I2,1,3,f,20,
CR,53,7,7,2015,Mcomeau,25,I2,1,4,f,22,
CR,54,7,7,2015,Mcomeau,25,I2,1,4,f,30,
CR,55,7,7,2015,Mcomeau,25,I2,1,4,i,18,
CR,56,7,7,2015,Mcomeau,25,I2,1,4,i,19,
CR,57,7,7,2015,Mcomeau,25,I2,1,4,m,60,
CR,58,7,7,2015,Mcomeau,25,I2,1,4,m,23,
CR,59,7,7,2015,Mcomeau,25,I2,1,4,f,32,
CR,60,7,7,2015,Mcomeau,25,I2,1,4,i,8,
CR,61,7,7,2015,Mcomeau,25,I2,1,4,i,9,
CR,62,7,7,2015,Mcomeau,25,I2,1,4,f,22,
CR,63,7,7,2015,Mcomeau,25,I2,1,4,m,23,
CR,64,7,7,2015,Mcomeau,25,I2,1,4,f,21,
CR,65,7,7,2015,Mcomeau,25,I2,1,4,i,10,
CR,66,7,7,2015,Mcomeau,25,I2,1,4,f,35,
CR,67,7,7,2015,Mcomeau,25,I2,1,4,f,23,
CR,68,7,7,2015,Mcomeau,25,I2,1,4,i,10,
CR,69,7,7,2015,Mcomeau,25,I2,1,4,i,11,
CR,70,7,7,2015,Mcomeau,25,I2,1,4,i,9,
CR,71,7,7,2015,Mcomeau,25,I2,1,4,i,17,
CR,72,7,7,2015,Mcomeau,25,I2,1,4,m,23,
CR,73,7,7,2015,Mcomeau,25,I2,1,4,i,18,
CR,74,7,7,2015,Mcomeau,25,I2,1,4,m,36,
CR,75,7,7,2015,Mcomeau,25,I2,1,4,m,65,
CR,76,7,7,2015,Mcomeau,25,I2,1,4,i,9,
CR,77,7,7,2015,Mcomeau,25,I2,1,5,i,15,
CR,78,7,7,2015,Mcomeau,25,I2,1,5,i,12,
CR,79,7,7,2015,Mcomeau,25,I2,1,5,f,27,
CR,80,7,7,2015,Mcomeau,25,I2,1,5,f,34,
CR,81,7,7,2015,Mcomeau,25,I2,1,5,f,59,
CR,82,7,7,2015,Mcomeau,25,I2,1,5,f,33,
CR,83,7,7,2015,Mcomeau,25,I2,1,5,i,13,
CR,84,7,7,2015,Mcomeau,25,I2,1,5,f,33,
CR,85,7,7,2015,Mcomeau,25,I2,1,5,i,12,
CR,86,7,7,2015,Mcomeau,25,I2,1,5,i,10,
CR,87,7,7,2015,Mcomeau,25,I2,1,5,m,33,
CR,88,7,7,2015,Mcomeau,25,I2,1,5,m,23,
CR,89,7,7,2015,Mcomeau,25,I2,1,5,m,20,
CR,90,7,7,2015,Mcomeau,25,I2,1,5,m,20,
CR,91,7,7,2015,Mcomeau,25,I2,1,5,i,10,
CR,92,7,7,2015,Mcomeau,25,I2,1,5,m,22,
CR,93,7,7,2015,Mcomeau,25,I2,1,5,m,28,
CR,94,7,7,2015,Mcomeau,25,I2,1,5,i,12,
CR,95,7,7,2015,Mcomeau,25,I2,1,5,i,9,
CR,96,7,7,2015,Mcomeau,25,I2,1,5,m,24,
CR,97,7,7,2015,Mcomeau,25,I2,1,5,f,32,
CR,98,7,7,2015,Mcomeau,25,I2,1,5,i,13,
CR,99,7,7,2015,Mcomeau,25,I2,1,6,f,70,
CR,100,7,7,2015,Mcomeau,25,I2,1,6,f,36,
CR,101,7,7,2015,Mcomeau,25,I2,1,6,i,12,
CR,102,7,7,2015,Mcomeau,25,I2,1,6,m,73,
CR,103,7,7,2015,Mcomeau,25,I2,1,6,m,40,
CR,104,7,7,2015,Mcomeau,25,I2,1,6,f,29,
CR,105,7,7,2015,Mcomeau,25,I2,1,6,i,8,
CR,106,7,7,2015,Mcomeau,25,I2,1,6,i,19,
CR,107,7,7,2015,Mcomeau,25,I2,1,6,i,10,
CR,108,7,7,2015,Mcomeau,25,I2,1,6,m,23,
CR,109,7,7,2015,Mcomeau,25,I2,1,6,f,52,
CR,110,7,7,2015,Mcomeau,25,I2,1,6,f,42,
CR,111,7,7,2015,Mcomeau,25,I2,1,6,f,22,
CR,112,7,7,2015,Mcomeau,25,I2,1,6,f,31,
CR,113,7,7,2015,Mcomeau,25,I2,1,6,i,15,
CR,114,7,7,2015,Mcomeau,25,I2,1,6,i,11,
CR,115,7,7,2015,Mcomeau,25,I2,1,6,m,41,
CR,116,7,7,2015,Mcomeau,25,I2,1,6,i,19,
CR,117,7,7,2015,Mcomeau,25,I2,1,6,i,14,
CR,118,7,7,2015,Mcomeau,25,I2,1,6,i,19,
CR,119,7,7,2015,Mcomeau,25,I2,1,6,i,19,
CR,120,7,7,2015,Mcomeau,25,I2,1,6,i,20,
CR,121,7,7,2015,Mcomeau,25,I2,1,6,i,15,
CR,122,7,7,2015,Mcomeau,25,I2,1,6,f,22,
CR,123,7,7,2015,Mcomeau,25,I2,1,6,i,17,
CR,124,7,7,2015,Mcomeau,25,I2,1,6,f,22,
CR,125,7,7,2015,Mcomeau,25,I2,1,7,m,23,
CR,126,7,7,2015,Mcomeau,25,I2,1,7,m,36,
CR,127,7,7,2015,Mcomeau,25,I2,1,7,m,19,
CR,128,7,7,2015,Mcomeau,25,I2,1,7,f,22,
CR,129,7,7,2015,Mcomeau,25,I2,1,7,i,19,
CR,130,7,7,2015,Mcomeau,25,I2,1,7,i,10,
CR,131,7,7,2015,Mcomeau,25,I2,1,7,m,21,
CR,132,7,7,2015,Mcomeau,25,I2,1,7,i,8,
CR,133,7,7,2015,Mcomeau,25,I2,1,7,i,9,
CR,134,7,7,2015,Mcomeau,25,I2,1,7,i,18,
CR,135,7,7,2015,Mcomeau,25,I2,1,7,i,17,
CR,136,7,7,2015,Mcomeau,25,I2,1,7,i,18,
CR,137,7,7,2015,Mcomeau,25,I2,1,7,m,23,
CR,138,7,7,2015,Mcomeau,25,I2,1,7,m,50,
CR,139,7,7,2015,Mcomeau,25,I2,1,7,m,29,
CR,140,7,7,2015,Mcomeau,25,I2,1,7,m,39,
CR,141,7,7,2015,Mcomeau,25,I2,1,7,m,26,
CR,142,7,7,2015,Mcomeau,25,I2,1,7,m,65,
CR,143,7,7,2015,Mcomeau,25,I2,1,7,m,28,
CR,144,7,7,2015,Mcomeau,25,I2,1,7,f,39,
CR,145,7,7,2015,Mcomeau,25,I2,1,7,i,18,
CR,146,7,7,2015,Rdoucette,25,I2,1,8,f,39,
CR,147,7,7,2015,Rdoucette,25,I2,1,8,f,23,
CR,148,7,7,2015,Rdoucette,25,I2,1,8,i,19,
CR,149,7,7,2015,Rdoucette,25,I2,1,8,f,38,
CR,150,7,7,2015,Rdoucette,25,I2,1,8,f,28,
CR,151,7,7,2015,Rdoucette,25,I2,1,8,m,46,
CR,152,7,7,2015,Rdoucette,25,I2,1,8,i,12,
CR,153,7,7,2015,Rdoucette,25,I2,1,8,i,10,
CR,154,7,7,2015,Rdoucette,25,I2,1,8,i,15,
CR,155,7,7,2015,Rdoucette,25,I2,1,8,i,9,
CR,156,7,7,2015,Rdoucette,25,I2,1,8,i,15,
CR,157,7,7,2015,Rdoucette,25,I2,1,8,i,12,
CR,158,7,7,2015,Rdoucette,25,I2,1,8,i,19,
CR,159,7,7,2015,Rdoucette,25,I2,1,8,m,25,
