Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
1,9,8,2012,Mcomeau,,,,,,FH,L1-T1,1,,,,,,,,,,,,,,
2,9,8,2012,Mcomeau,,,,,,FH,L1-T1,2,,,,,,,,,,,,,,
3,9,8,2012,Mcomeau,,,,,,FH,L1-T1,3,,,,,,,,,,,,,,
4,9,8,2012,Mcomeau,,,,,,FH,L1-T1,4,,,,,,,,,,,,,,
5,9,8,2012,Mcomeau,,,,,,FH,L1-T1,5,,,,,,,,,,,,,,
6,9,8,2012,Mcomeau,,,,,,FH,L1-T1,6,,,,,,,,,,,,,,
7,9,8,2012,Mcomeau,,,,,,FH,L1-T1,7,m,122,,,,,,,,,,,,
8,9,8,2012,Mcomeau,,,,,,FH,L1-T1,8,,,,,,,,,,,,,,
9,9,8,2012,Mcomeau,,,,,,FH,L1-T1,9,,,,,,,,,,,,,,
10,9,8,2012,Mcomeau,,,,,,FH,L1-T1,10,m,68,,,,,,,,,,,,
11,9,8,2012,Mcomeau,,,,,,FH,L1-T1,12,,,,,,,,,,,,,,
12,9,8,2012,Mcomeau,,,,,,FH,L1-T1,13,,,,,,,,,,,,,,
13,9,8,2012,Mcomeau,,,,,,FH,L1-T1,14,,,,,,,,,,,,,,
14,9,8,2012,Mcomeau,,,,,,FH,L1-T1,15,f,70,,,,,,,,,,,,
15,9,8,2012,Mcomeau,,,,,,FH,L1-T1,16,,,,,,,,,,,,,,
16,9,8,2012,Mcomeau,,,,,,FH,L1-T1,17,,,,,,,,,,,,,,
17,9,8,2012,Mcomeau,,,,,,FH,L1-T1,18,,,,,,,,,,,,,,
18,9,8,2012,Mcomeau,,,,,,FH,L1-T1,19,,,,,,,,,,,,,,
19,9,8,2012,Mcomeau,,,,,,FH,L1-T1,20,,,,,,,,,,,,,,
20,9,8,2012,Rdoucette,,,,,,FH,L1-T1,1,,,,,,,,,,,,,,
21,9,8,2012,Rdoucette,,,,,,FH,L1-T1,2,,,,,,,,,,,,,,
22,9,8,2012,Rdoucette,,,,,,FH,L1-T1,3,,,,,,,,,,,,,,
23,9,8,2012,Rdoucette,,,,,,FH,L1-T1,4,,,,,,,,,,,,,,
24,9,8,2012,Rdoucette,,,,,,FH,L1-T1,5,,,,,,,,,,,,,,
25,9,8,2012,Rdoucette,,,,,,FH,L1-T1,6,,,,,,,,,,,,,,
26,9,8,2012,Rdoucette,,,,,,FH,L1-T1,10,,,,,,,,,,,,,,
27,9,8,2012,Rdoucette,,,,,,FH,L1-T1,11,,,,,,,,,,,,,,
