Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire
1,2,8,2005,Grobichaud,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,1,,,,0,0,0,0,1,1,Simple,
6,2,8,2005,Grobichaud,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,6,f,79,,0,1,0,0,1,0,Simple,
16,2,8,2005,Grobichaud,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,16,,,,0,1,0,0,1,1,Simple,
17,2,8,2005,Grobichaud,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,17,,,,0,1,0,0,1,1,Simple,
19,2,8,2005,Grobichaud,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,19,,,,0,1,0,0,0,1,Simple,
20,2,8,2005,Grobichaud,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,20,,,,0,1,0,0,0,1,Simple,
21,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,1,,,,0,1,1,0,1,1,Simple,
22,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,2,,,,0,1,1,0,0,1,Simple,
23,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,3,,,,0,1,1,0,0,1,Simple,
24,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,4,,,,0,1,1,0,0,1,Simple,
25,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,5,,,,0,1,1,0,0,1,Simple,
26,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,6,,,,0,1,1,0,0,1,Simple,
27,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,7,m,118,,0,1,1,0,0,1,Simple,
28,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,8,,,,0,1,0,0,0,1,Simple,
29,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,9,,,,0,1,0,0,0,1,Simple,
31,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,11,,,,0,1,0,0,0,1,Simple,
33,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,13,,,,0,1,0,0,1,1,Simple,
34,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,14,,,,0,1,0,0,0,1,Simple,
35,2,8,2005,Fsavoie,4552.875,6327.454,4552.889,6327.529,30,FH,R1-T1,15,,,,0,1,0,0,0,1,Simple,
