Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire
1,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,1,,,,0,0,1,1,1,1,0,Simple,
2,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,2,,,,,,,,,,,Simple,
3,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,3,,,,,,,,,,,Simple,LS
4,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,4,,,,,,,,,,,Simple,LS
5,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,5,,,,,,,,,,,Simple,
6,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,6,,,,,,,,,,,Simple,
7,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,7,,,,,,,,,,,Simple,
8,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,8,,,,,,,,,,,Simple,
9,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,9,,,,,,,,,,,Simple,
10,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,10,,,,,,,,,,,Simple,
11,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,11,,,,,,,,,,,Simple,LS
12,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,12,,,,,,,,,,,Simple,LS
13,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,13,,,,,,,,,,,Simple,
14,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,14,,,,,,,,,,,Simple,
15,4,8,2006,Gpaulin,4552.954,6327.644,4552.967,6327.719,30,FH,L1-T1,15,,,,,,,,,,,Simple,
