Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond
1,24,8,2010,Dgiard,,,,,31,FH,L1-T1,2,,,,,,,,,,,,,
2,24,8,2010,Dgiard,,,,,31,FH,L1-T1,3,,,,,,,,,,,,,
3,24,8,2010,Dgiard,,,,,31,FH,L1-T1,4,,,,,,,,,,,,,
4,24,8,2010,Dgiard,,,,,31,FH,L1-T1,5,,,,,,,,,,,,,
5,24,8,2010,Dgiard,,,,,31,FH,L1-T1,6,,,,,,,,,,,,,
6,24,8,2010,Dgiard,,,,,31,FH,L1-T1,7,,,,,,,,,,,,,
7,24,8,2010,Dgiard,,,,,31,FH,L1-T1,8,,,,,,,,,,,,,
8,24,8,2010,Dgiard,,,,,31,FH,L1-T1,9,,,,,,,,,,,,,
9,24,8,2010,Dgiard,,,,,31,FH,L1-T1,10,,,,,,,,,,,,,
10,24,8,2010,Dgiard,,,,,31,FH,L1-T1,11,,,,,,,,,,,,,
11,24,8,2010,Dgiard,,,,,31,FH,L1-T1,12,,,,,,,,,,,,,
12,24,8,2010,Dgiard,,,,,31,FH,L1-T1,13,,,,,,,,,,,,,
13,24,8,2010,Dgiard,,,,,31,FH,L1-T1,14,,,,,,,,,,,,,
14,24,8,2010,Dgiard,,,,,31,FH,L1-T1,15,,,,,,,,,,,,,
15,24,8,2010,Dgiard,,,,,31,FH,L1-T1,16,,,,,,,,,,,,,
16,24,8,2010,Arondo,,,,,31,FH,L1-T1,1,,,,,,,,,,,,,
17,24,8,2010,Arondo,,,,,31,FH,L1-T1,2,i,60,,,,,,,,,Simple,,
18,24,8,2010,Arondo,,,,,31,FH,L1-T1,3,,,,,,,,,,,,,
19,24,8,2010,Arondo,,,,,31,FH,L1-T1,4,,,,,,,,,,,,,
20,24,8,2010,Arondo,,,,,31,FH,L1-T1,5,,,,,,,,,,,,,
21,24,8,2010,Arondo,,,,,31,FH,L1-T1,6,,,,,,,,,,,,,
22,24,8,2010,Arondo,,,,,31,FH,L1-T1,7,,,,,,,,,,,,,
23,24,8,2010,Arondo,,,,,31,FH,L1-T1,8,,,,,,,,,,,,,
24,24,8,2010,Arondo,,,,,31,FH,L1-T1,9,,,,,,,,,,,,,
25,24,8,2010,Arondo,,,,,31,FH,L1-T1,10,f,81,,,,,,,,,,,
26,24,8,2010,Arondo,,,,,31,FH,L1-T1,11,,,,,,,,,,,,,
27,24,8,2010,Arondo,,,,,31,FH,L1-T1,12,,,,,,,,,,,,,
28,24,8,2010,Arondo,,,,,31,FH,L1-T1,13,,,,,,,,,,,,,
