Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,
1,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,1,,,,0,0,0,0,1,1,Simple,LS,,,,,,,,
2,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,2,,,,0,0,0,0,1,1,Simple,,,,,,,,,
3,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,3,f,40,,0,0,1,0,0,0,Simple,,,,,,,,,
5,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,5,m,26,,0,0,1,0,1,1,Simple,,,,,,,,,
6,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,5,m,48,,0,0,1,0,1,1,Simple,,,,,,,,,
7,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,5,m,69,,0,0,1,0,1,1,Simple,,,,,,,,,
8,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,6,m,39,,0,0,1,0,1,1,Simple,,,,,,,,,
9,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,6,m,38,,0,0,1,0,1,1,Simple,,,,,,,,,
12,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,9,m,52,,0,0,1,0,0,1,Simple,,,,,,,,,
16,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,13,m,24,,0,0,1,0,1,1,Simple,,,,,,,,,
17,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,14,f,80,,0,0,0,0,1,1,Simple,LS,,,,,,,,
18,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,15,m,26,,0,0,0,0,1,1,Simple,,,,,,,,,
19,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,16,m,48,,0,0,0,0,1,1,Simple,,,,,,,,,
20,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,17,,,,0,0,0,0,1,1,Simple,,,,,,,,,
21,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,18,,,,0,0,0,0,1,1,Simple,,,,,,,,,
22,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,19,f,32,,0,0,0,0,1,1,Simple,,,,,,,,,
23,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,19,m,48,,0,0,0,0,1,1,Simple,,,,,,,,,
24,3,8,2004,Elandry,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,20,f,30,,0,0,0,0,1,1,Simple,,,,,,,,,
25,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,1,b,74,,0,0,0,0,1,1,Simple,,,,,,,,,
26,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,2,f,38,,0,0,0,0,1,1,Simple,,,,,,,,,
27,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,3,f,28,,0,0,1,0,0,1,Simple,,,,,,,,,
29,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,5,f,35,,0,0,1,0,0,0,Simple,,,,,,,,,
30,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,19,GA1,GA1,6,,,,0,0,1,0,0,1,Simple,,,,,,,,,
32,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,8,f,46,,0,0,1,0,0,0,Simple,,,,,,,,,
33,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,8,m,53,,0,0,1,0,0,0,Simple,,,,,,,,,
34,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,9,f,59,,0,0,0,0,1,1,Simple,,,,,,,,,
35,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,10,,,,0,0,0,0,1,1,Simple,,,,,,,,,
36,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,11,f,30,,0,0,0,0,1,1,Simple,LS,,,,,,,,
37,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,12,f,51,,0,0,0,0,1,1,Simple,,,,,,,,,
38,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,12,f,29,,0,0,0,0,1,1,Simple,,,,,,,,,
39,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,13,,,,0,0,0,0,1,1,Simple,,,,,,,,,
40,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,14,m,32,,0,0,0,0,1,1,Simple,,,,,,,,,
41,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,14,f,47,,0,0,0,0,1,1,Simple,,,,,,,,,
42,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,15,,,,0,0,0,0,1,1,Simple,,,,,,,,,
43,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,16,m,42,,0,0,0,0,1,1,Simple,,,,,,,,,
44,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,17,,,,0,0,0,0,1,1,Simple,,,,,,,,,
45,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,18,,,,0,0,0,0,1,1,Simple,,,,,,,,,
46,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,19,m,18,,0,0,0,0,1,1,Simple,,,,,,,,,
47,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,19,m,30,,0,0,0,0,1,1,Simple,,,,,,,,,
48,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,19,f,48,,0,0,0,0,1,1,Simple,,,,,,,,,
49,3,8,2004,Rfrigo,4749.498,6509.928,4749.488,6510.029,20,GA1,GA1,20,,,,0,0,0,0,1,1,Simple,,,,,,,,,
51,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,2,f,15,,0,0,1,0,0,1,Simple,,,,,,,,,
52,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,3,m,39,,0,0,1,0,0,1,Simple,,,,,,,,,
54,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,5,,,,0,0,1,1,0,0,Simple,,,,,,,,,
55,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,6,,,,0,0,1,1,0,0,Simple,,,,,,,,,
57,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,8,m,23,,0,0,1,1,1,1,Simple,,,,,,,,,
58,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,9,,,,0,0,1,1,1,0,Simple,,,,,,,,,
63,3,8,2004,Elandry,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,14,m,17,,0,0,1,1,1,1,Simple,,,,,,,,,
70,3,8,2004,Rfrigo,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,1,,,,0,0,1,0,0,1,Simple,,,,,,,,,
72,3,8,2004,Rfrigo,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,3,,,,0,0,1,0,0,1,Simple,,,,,,,,,
73,3,8,2004,Rfrigo,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,4,,,,0,0,1,1,0,1,Simple,,,,,,,,,
75,3,8,2004,Rfrigo,4749.481,6510.064,4749.456,6510.262,20,GA1,GA2,6,f,27,,0,0,1,1,0,1,Simple,,,,,,,,,
91,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,2,,,,0,0,1,0,1,1,Simple,LS,,,,,,,,
92,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,3,,,,0,0,0,0,1,1,Simple,,,,,,,,,
93,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,4,,,,0,0,0,0,1,1,Simple,,,,,,,,,
96,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,7,m,67,,0,0,1,0,0,0,Simple,,,,,,,,,
101,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,12,,,,0,0,0,0,1,0,Simple,LS,,,,,,,,
104,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,15,,,,0,0,0,0,1,0,Simple,LS,,,,,,,,
105,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,16,m,78,,0,0,0,0,1,1,Simple,,,,,,,,,
106,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,17,m,38,,0,0,0,0,1,1,Simple,,,,,,,,,
107,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,18,m,14,,0,0,0,0,1,1,Simple,,,,,,,,,
108,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,18,f,26,,0,0,0,0,1,1,Simple,,,,,,,,,
109,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,19,,,,0,0,1,0,1,1,Simple,,,,,,,,,
110,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,20,m,52,,0,0,1,0,1,1,Simple,,,,,,,,,
111,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,20,m,26,,0,0,1,0,1,1,Simple,,,,,,,,,
112,6,8,2004,Elandry,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,20,m,15,,0,0,1,0,1,1,Simple,,,,,,,,,
113,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,1,f,64,,0,0,0,0,1,1,Simple,,,,,,,,,
114,6,8,2004,Rfrigo,4749.463,6509.984,4749.444,6510.053,23,GA1,GA3,2,m,64,,0,0,0,0,1,1,Simple,,,,,,,,,
