Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,
1,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,1,m,69,,0,0,0,0,1,,1,Simple,,,
2,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,2,,,,0,0,0,0,1,,1,Simple,,,
3,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,3,m,70,,0,0,0,0,0,,1,Simple,,,
4,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,4,m,76,,0,0,0,0,0,,1,Simple,,,
5,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,5,m,42,,0,0,0,0,1,,1,Simple,,,
6,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,6,m,25,,0,0,0,0,1,,1,Simple,,,
7,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,7,f,65,,0,0,0,0,1,,1,Simple,,,
8,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,7,b,73,,0,0,0,0,1,,1,Simple,,,
9,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,8,,,,0,0,0,0,1,,1,Simple,,,
10,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,9,m,30,,0,0,1,0,0,,0,Simple,,,
11,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,10,f,27,,0,0,1,0,0,,0,Simple,,,
12,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,10,f,64,,0,0,1,0,0,,0,Simple,,,
14,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,12,m,38,,0,0,1,0,0,,0,Simple,,,
15,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,13,m,47,,0,0,1,0,0,,1,Simple,,,
16,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,13,f,22,,0,0,1,0,0,,0,Simple,,,
18,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,15,m,14,,0,0,1,0,0,,0,Simple,,,
20,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,17,m,13,,0,0,1,0,0,,1,Simple,,,
21,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,18,m,18,,0,0,0,0,1,,1,Simple,,,
22,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,19,m,38,,0,0,1,0,1,,1,Simple,,,
23,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,20,f,56,,0,0,0,0,1,,1,Simple,,,
24,24,8,2005,Elandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,20,m,78,,0,0,0,0,1,,1,Simple,,,
25,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,1,f,70,,0,0,0,0,1,,1,Simple,LS,,
26,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,1,m,67,,0,0,0,0,1,,1,Simple,,,
27,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,2,m,33,,0,0,0,0,0,,1,Simple,,,
28,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,3,m,25,,0,0,0,0,0,,1,Simple,LS,,
29,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,4,f,30,,0,0,0,0,0,,1,Simple,,,
30,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,5,,,,0,0,0,0,1,,1,Simple,LS,,
31,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,6,f,60,,0,0,0,0,1,,1,Simple,,,
32,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,7,m,18,,0,0,0,0,1,,1,Simple,LS,,
33,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,7,m,39,,0,0,0,0,1,,1,Simple,,,
34,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,8,,,,0,0,0,0,1,,1,Simple,LS,,
35,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,9,f,36,,0,0,0,0,1,,1,Simple,,,
36,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,10,,,,0,0,0,0,1,,1,Simple,LS,,
37,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,11,f,21,,0,0,1,0,1,,1,Simple,,,
38,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,11,m,17,,0,0,1,0,1,,1,Simple,,,
39,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,12,m,11,,0,0,1,0,1,,1,Simple,LS,,
40,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,13,f,22,,0,0,1,0,1,,1,Simple,,,
41,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,14,m,14,,0,0,1,0,1,,1,Simple,,,
43,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,16,,,,0,0,1,0,1,,1,Simple,LS,,
44,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,17,,,,0,0,1,0,1,,1,Simple,,,
45,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,18,,,,0,0,0,0,0,,1,Simple,LS,,
46,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,19,f,33,,0,0,0,0,0,,1,Simple,,,
47,24,8,2005,Glandry,4749.492,6509.918,4749.484,6510.994,19,GA1,GA1,20,m,20,,0,0,0,0,0,,1,Simple,,,
48,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,1,f,40,,0,0,1,0,0,,1,Simple,,,
52,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,5,f,34,,0,0,1,0,0,,0,Simple,,,
53,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,6,m,33,,0,0,1,0,0,,0,Simple,,,
54,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,6,f,60,,0,0,1,0,0,,0,Simple,,,
57,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,9,f,36,,0,0,1,0,0,,0,Simple,,,
59,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,11,m,33,,0,0,1,0,0,,0,Simple,,,
61,25,8,2005,Glandry,4749.478,6510.061,4749.457,6510.132,22,GA1,GA2,13,,,,0,0,1,0,0,,1,Simple,,,
