Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,,
1,21,7,2010,Mcomeau,,,,,23,GA1,GA1,1,m,25,,,,,,,,,,,,
2,21,7,2010,Mcomeau,,,,,23,GA1,GA1,1,m,36,,,,,,,,,,,,
3,21,7,2010,Mcomeau,,,,,23,GA1,GA1,1,m,17,,,,,,,,,,,,
4,21,7,2010,Mcomeau,,,,,23,GA1,GA1,1,m,40,,,,,,,,,,,,
5,21,7,2010,Mcomeau,,,,,23,GA1,GA1,1,m,18,,,,,,,,,,,,
6,21,7,2010,Mcomeau,,,,,23,GA1,GA1,2,f,35,,,,,,,,,,,,
7,21,7,2010,Mcomeau,,,,,23,GA1,GA1,2,f,29,,,,,,,,,,,,
8,21,7,2010,Mcomeau,,,,,23,GA1,GA1,3,m,27,,,,,,,,,,,,
9,21,7,2010,Mcomeau,,,,,23,GA1,GA1,3,f,52,,,,,,,,,,,,
10,21,7,2010,Mcomeau,,,,,23,GA1,GA1,3,f,47,,,,,,,,,,,,
11,21,7,2010,Mcomeau,,,,,23,GA1,GA1,3,m,25,,,,,,,,,,,,
12,21,7,2010,Mcomeau,,,,,23,GA1,GA1,3,m,35,,,,,,,,,,,,
13,21,7,2010,Mcomeau,,,,,23,GA1,GA1,4,f,36,,,,,,,,,,,,
14,21,7,2010,Mcomeau,,,,,23,GA1,GA1,4,m,26,,,,,,,,,,,,
15,21,7,2010,Mcomeau,,,,,23,GA1,GA1,4,m,47,,,,,,,,,,,,
16,21,7,2010,Mcomeau,,,,,23,GA1,GA1,4,m,54,,,,,,,,,,,,
17,21,7,2010,Mcomeau,,,,,23,GA1,GA1,4,m,60,,,,,,,,,,,,
18,21,7,2010,Mcomeau,,,,,23,GA1,GA1,4,m,22,,,,,,,,,,,,
19,21,7,2010,Mcomeau,,,,,23,GA1,GA1,5,m,43,,,,,,,,,,,,
20,21,7,2010,Mcomeau,,,,,23,GA1,GA1,5,f,32,,,,,,,,,,,,
21,21,7,2010,Mcomeau,,,,,23,GA1,GA1,5,m,31,,,,,,,,,,,,
22,21,7,2010,Mcomeau,,,,,23,GA1,GA1,6,m,21,,,,,,,,,,,,
23,21,7,2010,Mcomeau,,,,,23,GA1,GA1,6,m,22,,,,,,,,,,,,
24,21,7,2010,Mcomeau,,,,,23,GA1,GA1,6,m,35,,,,,,,,,,,,
25,21,7,2010,Mcomeau,,,,,23,GA1,GA1,6,f,32,,,,,,,,,,,,
26,21,7,2010,Mcomeau,,,,,23,GA1,GA1,11,m,32,,,,,,,,,,,,
27,21,7,2010,Mcomeau,,,,,23,GA1,GA1,11,m,42,,,,,,,,,,,,
28,21,7,2010,Mcomeau,,,,,23,GA1,GA1,11,m,25,,,,,,,,,,,,
29,21,7,2010,Mcomeau,,,,,23,GA1,GA1,12,f,38,,,,,,,,,,,,
30,21,7,2010,Mcomeau,,,,,23,GA1,GA1,12,f,32,,,,,,,,,,,,
31,21,7,2010,Mcomeau,,,,,23,GA1,GA1,12,m,46,,,,,,,,,,,,
32,21,7,2010,Mcomeau,,,,,23,GA1,GA1,13,m,52,,,,,,,,,,,,
33,21,7,2010,Mcomeau,,,,,23,GA1,GA1,13,f,31,,,,,,,,,,,,
34,21,7,2010,Mcomeau,,,,,23,GA1,GA1,13,f,38,,,,,,,,,,,,
35,21,7,2010,Mcomeau,,,,,23,GA1,GA1,13,f,43,,,,,,,,,,,,
36,21,7,2010,Mcomeau,,,,,23,GA1,GA1,14,m,40,,,,,,,,,,,,
37,21,7,2010,Mcomeau,,,,,23,GA1,GA1,14,m,16,,,,,,,,,,,,
38,21,7,2010,Mcomeau,,,,,23,GA1,GA1,14,f,26,,,,,,,,,,,,
39,21,7,2010,Mcomeau,,,,,23,GA1,GA1,14,f,60,,,,,,,,,,,,
40,21,7,2010,Mcomeau,,,,,23,GA1,GA1,15,f,24,,,,,,,,,,,,
41,21,7,2010,Mcomeau,,,,,23,GA1,GA1,15,m,90,,,,,,,,,,,,
42,21,7,2010,Mcomeau,,,,,23,GA1,GA1,15,m,23,,,,,,,,,,,,
43,21,7,2010,Mcomeau,,,,,23,GA1,GA1,15,m,32,,,,,,,,,,,,
44,21,7,2010,Mcomeau,,,,,23,GA1,GA1,15,m,27,,,,,,,,,,,,
45,21,7,2010,Mcomeau,,,,,23,GA1,GA1,16,m,52,,,,,,,,,,,,
