Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,1,,,,0,1,0,0,0,0,0,Simple,,
2,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,2,,,,0,1,0,0,0,0,0,Simple,,
3,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,3,,,,0,1,0,0,0,0,0,Simple,,
4,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,4,,,,0,1,0,0,0,0,0,Simple,,
5,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,5,,,,0,1,0,0,0,0,0,Simple,,
6,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,6,,,,0,1,0,0,0,0,0,Simple,,
7,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,7,,,,0,1,0,0,0,0,0,Simple,,
8,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,8,,,,0,1,0,0,0,0,0,Simple,,
9,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,9,f,71,,0,1,0,0,0,0,0,Simple,,
10,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,10,,,,0,1,0,0,0,0,0,Simple,,
11,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,11,,,,0,1,0,0,0,0,0,Simple,,
12,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,12,,,,0,1,0,0,0,0,0,Simple,,
13,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,13,,,,0,1,0,0,0,0,0,Simple,,
14,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,14,,,,0,1,0,0,0,0,0,Simple,,
15,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,15,,,,0,1,0,0,0,0,0,Simple,,
16,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,16,,,,0,1,0,0,0,0,0,Simple,,
17,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,17,,,,0,1,0,0,0,0,0,Simple,,
18,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,18,,,,0,1,0,0,0,0,0,Simple,,
19,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,19,f,31,,0,1,0,0,0,0,0,Simple,,
20,24,7,2006,Bcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,20,,,,0,1,0,0,0,0,0,Simple,,
21,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,1,,,,0,1,0,0,0,0,0,Simple,,
22,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,2,,,,0,1,0,0,0,0,0,Simple,,
23,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,3,,,,0,1,0,0,0,0,0,Simple,,
24,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,4,,,,0,1,0,0,0,0,0,Simple,,
25,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,5,,,,0,1,0,0,0,0,0,Simple,,
26,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,6,,,,0,1,0,0,0,0,0,Simple,,
27,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,7,,,,0,1,0,0,0,0,0,Simple,,
28,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,8,,,,0,1,0,0,0,0,0,Simple,,
29,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,9,,,,0,1,0,0,0,0,0,Simple,,
30,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,10,,,,0,1,0,0,0,0,0,Simple,,
31,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,11,,,,0,1,0,0,0,0,0,Simple,,
32,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,12,,,,0,1,0,0,0,0,0,Simple,,Site
33,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,13,,,,0,1,0,0,0,0,0,Simple,,S1T1
34,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,14,,,,0,1,0,0,0,0,0,Simple,,S1T2
35,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,15,,,,0,1,0,0,0,0,0,Simple,,S2T1
36,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,16,,,,0,1,0,0,0,0,0,Simple,,
37,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,17,,,,0,1,0,0,0,0,0,Simple,,
38,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,18,,,,0,1,0,0,0,0,0,Simple,,
39,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,28,S1,1,19,,,,0,1,0,0,0,0,0,Simple,,
40,24,7,2006,Mcomeau,4710.931,6504.426,4710.897,6504.363,32,S1,1,20,,,,0,1,0,0,0,0,0,Simple,,
41,24,7,2006,Mcomeau,4710.88,6504.392,4710.85,6504.326,32,S1,2,1,,,,0,1,0,0,0,0,0,Simple,,
42,24,7,2006,Mcomeau,4710.88,6504.392,4710.85,6504.326,32,S1,2,2,,,,0,1,0,0,0,0,0,Simple,,
43,24,7,2006,Mcomeau,4710.88,6504.392,4710.85,6504.326,32,S1,2,3,,,,0,1,0,0,0,0,0,Simple,,
