Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,
1,15,7,2013,Mcomeau,,,,,35,S7,1,1,f,72,,,,,,,,,,,,,,
2,15,7,2013,Mcomeau,,,,,35,S7,1,1,f,65,,,,,,,,,,,,,,
3,15,7,2013,Mcomeau,,,,,35,S7,1,1,i,18,,,,,,,,,,,,,,
4,15,7,2013,Mcomeau,,,,,35,S7,1,1,i,9,,,,,,,,,,,,,,
5,15,7,2013,Mcomeau,,,,,35,S7,1,1,m,22,,,,,,,,,,,,,,
6,15,7,2013,Mcomeau,,,,,35,S7,1,1,f,43,,,,,,,,,,,,,,
7,15,7,2013,Mcomeau,,,,,35,S7,1,1,f,67,,,,,,,,,,,,,,
8,15,7,2013,Mcomeau,,,,,35,S7,1,1,f,26,,,,,,,,,,,,,,
9,15,7,2013,Mcomeau,,,,,35,S7,1,2,m,68,,,,,,,,,,,,,,
10,15,7,2013,Mcomeau,,,,,35,S7,1,2,f,63,,,,,,,,,,,,,,
11,15,7,2013,Mcomeau,,,,,35,S7,1,2,m,59,,,,,,,,,,,,,,
12,15,7,2013,Mcomeau,,,,,35,S7,1,3,f,63,,,,,,,,,,,,,,
13,15,7,2013,Mcomeau,,,,,35,S7,1,3,f,33,,,,,,,,,,,,,,
14,15,7,2013,Mcomeau,,,,,35,S7,1,3,f,43,,,,,,,,,,,,,,
15,15,7,2013,Mcomeau,,,,,35,S7,1,3,m,39,,,,,,,,,,,,,,
16,15,7,2013,Mcomeau,,,,,35,S7,1,3,m,62,,,,,,,,,,,,,,
17,15,7,2013,Mcomeau,,,,,35,S7,1,3,m,21,,,,,,,,,,,,,,
18,15,7,2013,Mcomeau,,,,,35,S7,1,4,m,58,,,,,,,,,,,,,,
19,15,7,2013,Mcomeau,,,,,35,S7,1,4,f,35,,,,,,,,,,,,,,
20,15,7,2013,Mcomeau,,,,,35,S7,1,4,f,22,,,,,,,,,,,,,,
21,15,7,2013,Mcomeau,,,,,35,S7,1,4,f,52,,,,,,,,,,,,,,
22,15,7,2013,Mcomeau,,,,,35,S7,1,4,f,22,,,,,,,,,,,,,,
23,15,7,2013,Mcomeau,,,,,35,S7,1,4,m,20,,,,,,,,,,,,,,
24,15,7,2013,Mcomeau,,,,,35,S7,1,4,i,18,,,,,,,,,,,,,,
25,15,7,2013,Mcomeau,,,,,35,S7,1,4,f,62,,,,,,,,,,,,,,
26,15,7,2013,Mcomeau,,,,,35,S7,1,4,f,61,,,,,,,,,,,,,,
27,15,7,2013,Mcomeau,,,,,35,S7,1,5,m,69,,,,,,,,,,,,,,
28,15,7,2013,Mcomeau,,,,,35,S7,1,5,m,29,,,,,,,,,,,,,,
29,15,7,2013,Mcomeau,,,,,35,S7,1,5,i,13,,,,,,,,,,,,,,
30,15,7,2013,Mcomeau,,,,,35,S7,1,7,f,27,,,,,,,,,,,,,,
31,15,7,2013,Mcomeau,,,,,35,S7,1,7,f,61,,,,,,,,,,,,,,
32,15,7,2013,Mcomeau,,,,,35,S7,1,7,m,33,,,,,,,,,,,,,,
33,15,7,2013,Mcomeau,,,,,35,S7,1,7,m,26,,,,,,,,,,,,,,
