REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
NG,1,19,7,2017,Mcomeau,34,NG,1,1,f,25,,,,,,,,0,0
NG,2,19,7,2017,Mcomeau,34,NG,1,1,f,60,,,,,,,,0,0
NG,3,19,7,2017,Mcomeau,34,NG,1,1,f,60,,,,,,,,0,0
NG,4,19,7,2017,Mcomeau,34,NG,1,1,f,76,,,,,,,,0,0
NG,5,19,7,2017,Mcomeau,34,NG,1,1,i,18,,,,,,,,0,0
NG,6,19,7,2017,Mcomeau,34,NG,1,1,i,16,,,,,,,,0,0
NG,7,19,7,2017,Mcomeau,34,NG,1,1,i,13,,,,,,,,0,0
NG,8,19,7,2017,Mcomeau,34,NG,1,1,i,9,,,,,,,,0,0
NG,9,19,7,2017,Mcomeau,34,NG,1,1,m,58,,,,,,,,0,0
NG,10,19,7,2017,Mcomeau,34,NG,1,1,m,70,,,,,,,,0,0
NG,11,19,7,2017,Mcomeau,34,NG,1,1,m,95,,,,,,,,0,0
NG,12,19,7,2017,Mcomeau,34,NG,1,2,f,68,,,,,,,,0,0
NG,13,19,7,2017,Mcomeau,34,NG,1,2,f,61,,,,,,,,0,0
NG,14,19,7,2017,Mcomeau,34,NG,1,2,f,78,,,,,,,,0,0
NG,15,19,7,2017,Mcomeau,34,NG,1,2,f,60,,,,,,,,0,0
NG,16,19,7,2017,Mcomeau,34,NG,1,2,f,30,,,,,,,,0,0
NG,17,19,7,2017,Mcomeau,34,NG,1,2,f,65,,,,,,,,0,0
NG,18,19,7,2017,Mcomeau,34,NG,1,2,f,66,,,,,,,,0,0
NG,19,19,7,2017,Mcomeau,34,NG,1,9,f,31,,,,,,,,0,0
NG,20,19,7,2017,Mcomeau,34,NG,1,9,f,70,,,,,,,,0,0
NG,21,19,7,2017,Mcomeau,34,NG,1,9,f,70,,,,,,,,0,0
NG,22,19,7,2017,Mcomeau,34,NG,1,9,f,65,,,,,,,,0,0
NG,23,19,7,2017,Mcomeau,34,NG,1,9,i,18,,,,,,,,0,0
NG,24,19,7,2017,Mcomeau,34,NG,1,9,i,17,,,,,,,,0,0
NG,25,19,7,2017,Mcomeau,34,NG,1,9,i,10,,,,,,,,0,0
NG,26,19,7,2017,Mcomeau,34,NG,1,9,i,16,,,,,,,,0,0
NG,27,19,7,2017,Mcomeau,34,NG,1,9,i,11,,,,,,,,0,0
NG,28,19,7,2017,Mcomeau,34,NG,1,9,m,30,,,,,,,,0,0
NG,29,19,7,2017,Mcomeau,34,NG,1,9,m,72,,,,,,,,0,0
NG,30,19,7,2017,Mcomeau,34,NG,1,9,m,65,,,,,,,,0,0
NG,31,19,7,2017,Mcomeau,34,NG,1,9,m,26,,,,,,,,0,0
NG,32,19,7,2017,Mcomeau,34,NG,1,9,m,82,,,,,,,,0,0
NG,33,19,7,2017,Mcomeau,34,NG,1,10,f,38,,,,,,,,0,0
NG,34,19,7,2017,Mcomeau,34,NG,1,10,f,77,,,,,,,,0,0
NG,35,19,7,2017,Mcomeau,34,NG,1,10,f,37,,,,,,,,0,0
NG,36,19,7,2017,Mcomeau,34,NG,1,10,f,21,,,,,,,,0,0
NG,37,19,7,2017,Mcomeau,34,NG,1,10,f,72,,,,,,,,0,0
NG,38,19,7,2017,Mcomeau,34,NG,1,10,f,37,,,,,,,,0,0
NG,39,19,7,2017,Mcomeau,34,NG,1,10,f,65,,,,,,,,0,0
NG,40,19,7,2017,Mcomeau,34,NG,1,10,f,63,,,,,,,,0,0
NG,41,19,7,2017,Mcomeau,34,NG,1,10,f,65,,,,,,,,0,0
NG,42,19,7,2017,Mcomeau,34,NG,1,10,f,60,,,,,,,,0,0
NG,43,19,7,2017,Mcomeau,34,NG,1,10,f,25,,,,,,,,0,0
NG,44,19,7,2017,Mcomeau,34,NG,1,10,f,27,,,,,,,,0,0
NG,46,19,7,2017,Mcomeau,34,NG,1,10,i,18,,,,,,,,0,0
NG,47,19,7,2017,Mcomeau,34,NG,1,10,i,12,,,,,,,,0,0
NG,48,19,7,2017,Mcomeau,34,NG,1,10,i,9,,,,,,,,0,0
NG,49,19,7,2017,Mcomeau,34,NG,1,10,i,21,,,,,,,,0,0
NG,50,19,7,2017,Mcomeau,34,NG,1,10,i,20,,,,,,,,0,0
NG,51,19,7,2017,Mcomeau,34,NG,1,10,i,18,,,,,,,,0,0
NG,52,19,7,2017,Mcomeau,34,NG,1,10,i,11,,,,,,,,0,0
NG,53,19,7,2017,Mcomeau,34,NG,1,10,i,21,,,,,,,,0,0
NG,54,19,7,2017,Mcomeau,34,NG,1,10,i,11,,,,,,,,0,0
NG,55,19,7,2017,Mcomeau,34,NG,1,10,i,18,,,,,,,,0,0
NG,56,19,7,2017,Mcomeau,34,NG,1,10,i,11,,,,,,,,0,0
NG,57,19,7,2017,Mcomeau,34,NG,1,10,i,17,,,,,,,,0,0
NG,58,19,7,2017,Mcomeau,34,NG,1,10,i,18,,,,,,,,0,0
NG,59,19,7,2017,Mcomeau,34,NG,1,10,m,25,,,,,,,,0,0
NG,60,19,7,2017,Mcomeau,34,NG,1,10,m,27,,,,,,,,0,0
NG,61,19,7,2017,Mcomeau,34,NG,1,10,m,61,,,,,,,,0,0
