REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Co,Ca,MartinMallet,UPM
PH,220,19,7,2011,Elandry,40,PH,1,1,f,22,0,0,1,0,0,0,1,0,1
PH,221,19,7,2011,Elandry,39,PH,1,2,f,64,0,0,1,0,0,0,1,0,1
PH,222,19,7,2011,Elandry,39,PH,1,2,i,16,0,0,1,0,0,0,1,0,1
PH,223,19,7,2011,Elandry,39,PH,1,3,f,40,0,0,1,0,0,0,1,0,1
PH,224,19,7,2011,Elandry,39,PH,1,3,f,47,0,0,1,0,0,0,1,0,1
PH,225,19,7,2011,Elandry,39,PH,1,3,i,23,0,0,1,0,0,0,1,0,1
PH,226,19,7,2011,Elandry,39,PH,1,3,i,20,0,0,1,0,0,0,1,0,1
PH,227,19,7,2011,Elandry,39,PH,1,4,m,27,0,0,1,0,0,0,1,0,1
PH,228,19,7,2011,Elandry,39,PH,1,4,i,31,0,0,1,0,0,0,1,0,1
PH,229,19,7,2011,Elandry,39,PH,1,4,i,18,0,0,1,0,0,0,1,0,1
PH,230,19,7,2011,Elandry,39,PH,1,5,m,42,0,0,1,0,0,0,1,0,1
PH,231,19,7,2011,Elandry,39,PH,1,5,i,25,0,0,1,0,0,0,1,0,1
PH,232,19,7,2011,Elandry,39,PH,1,5,i,16,0,0,1,0,0,0,1,0,1
PH,233,19,7,2011,Elandry,39,PH,1,6,f,23,0,0,1,0,0,0,1,0,1
PH,234,19,7,2011,Elandry,39,PH,1,6,m,45,0,0,1,0,0,0,1,0,1
PH,235,19,7,2011,Elandry,39,PH,1,6,m,29,0,0,1,0,0,0,1,0,1
PH,236,19,7,2011,Elandry,39,PH,1,6,i,139,0,0,1,0,0,0,1,0,1
PH,237,19,7,2011,Elandry,39,PH,1,6,i,18,0,0,1,0,0,0,1,0,1
PH,238,19,7,2011,Elandry,40,PH,1,7,i,18,0,0,1,0,0,0,1,0,1
PH,239,19,7,2011,Elandry,40,PH,1,7,m,25,0,0,1,0,0,0,1,0,1
PH,240,19,7,2011,Elandry,39,PH,1,8,f,23,0,0,1,0,0,0,1,0,1
PH,241,19,7,2011,Elandry,39,PH,1,8,f,68,0,0,1,0,0,0,1,0,1
PH,242,19,7,2011,Elandry,39,PH,1,8,f,55,0,0,1,0,0,0,1,0,1
PH,243,19,7,2011,Elandry,38,PH,1,9,,,0,0,1,0,0,0,0,0,1
PH,244,19,7,2011,Elandry,38,PH,1,10,,,0,0,1,0,0,0,0,0,1
PH,245,19,7,2011,Elandry,40,PH,1,11,f,32,0,0,1,0,0,0,1,0,1
PH,246,19,7,2011,Elandry,40,PH,1,11,f,26,0,0,1,0,0,0,1,0,1
PH,247,19,7,2011,Elandry,40,PH,1,11,i,22,0,0,1,0,0,0,1,0,1
PH,248,19,7,2011,Elandry,40,PH,1,12,f,55,0,0,1,0,0,0,1,0,1
PH,249,19,7,2011,Elandry,40,PH,1,12,i,19,0,0,1,0,0,0,1,0,1
PH,250,19,7,2011,Elandry,40,PH,1,12,i,17,0,0,1,0,0,0,1,0,1
PH,251,19,7,2011,Elandry,40,PH,1,13,f,28,0,0,1,0,0,0,1,0,1
PH,252,19,7,2011,Elandry,40,PH,1,13,i,23,0,0,1,0,0,0,1,0,1
