REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
MC,1,24,7,2017,Mcomeau,17,MC,2,1,m,38,,,,,,,,0,0
MC,2,24,7,2017,Mcomeau,17,MC,2,1,f,40,,,,,,,,0,0
MC,3,24,7,2017,Mcomeau,17,MC,2,2,,,,,,,,,,0,0
MC,4,24,7,2017,Mcomeau,17,MC,2,3,,,,,,,,,,0,0
MC,5,24,7,2017,Mcomeau,17,MC,2,4,m,61,,,,,,,,0,0
MC,6,24,7,2017,Mcomeau,17,MC,2,4,m,25,,,,,,,,0,0
MC,7,24,7,2017,Mcomeau,17,MC,2,4,f,26,,,,,,,,0,0
MC,8,24,7,2017,Mcomeau,17,MC,2,5,f,26,,,,,,,,0,0
MC,9,24,7,2017,Mcomeau,17,MC,2,6,f,35,,,,,,,,0,0
MC,10,24,7,2017,Mcomeau,17,MC,2,6,f,35,,,,,,,,0,0
MC,11,24,7,2017,Mcomeau,17,MC,2,6,m,50,,,,,,,,0,0
MC,12,24,7,2017,Mcomeau,17,MC,2,6,m,55,,,,,,,,0,0
MC,13,24,7,2017,Mcomeau,17,MC,2,7,m,40,,,,,,,,0,0
MC,14,24,7,2017,Mcomeau,17,MC,2,8,f,70,,,,,,,,0,0
MC,15,24,7,2017,Mcomeau,17,MC,2,8,m,37,,,,,,,,0,0
MC,16,24,7,2017,Mcomeau,17,MC,2,9,,,,,,,,,,0,0
MC,17,24,7,2017,Mcomeau,17,MC,2,10,f,41,,,,,,,,0,0
MC,18,24,7,2017,Mcomeau,17,MC,2,11,f,23,,,,,,,,0,0
MC,19,24,7,2017,Mcomeau,17,MC,2,11,f,36,,,,,,,,0,0
MC,20,24,7,2017,Mcomeau,17,MC,2,11,f,32,,,,,,,,0,0
MC,21,24,7,2017,Mcomeau,17,MC,2,11,m,27,,,,,,,,0,0
MC,22,24,7,2017,Mcomeau,17,MC,2,11,f,32,,,,,,,,0,0
MC,23,24,7,2017,Mcomeau,17,MC,2,11,f,44,,,,,,,,0,0
MC,24,24,7,2017,Mcomeau,17,MC,2,12,m,67,,,,,,,,0,0
MC,25,24,7,2017,Mcomeau,17,MC,2,13,f,38,,,,,,,,0,0
MC,26,24,7,2017,Mcomeau,17,MC,2,13,m,27,,,,,,,,0,0
MC,27,24,7,2017,Mcomeau,17,MC,2,13,m,38,,,,,,,,0,0
MC,28,24,7,2017,Mcomeau,17,MC,2,13,m,24,,,,,,,,0,0
MC,29,24,7,2017,Mcomeau,17,MC,2,14,f,26,,,,,,,,0,0
MC,30,24,7,2017,Mcomeau,17,MC,2,14,f,40,,,,,,,,0,0
MC,31,24,7,2017,Mcomeau,17,MC,2,14,m,49,,,,,,,,0,0
MC,32,24,7,2017,Mcomeau,17,MC,2,15,f,42,,,,,,,,0,0
MC,33,24,7,2017,Mcomeau,17,MC,2,15,f,31,,,,,,,,0,0
MC,34,24,7,2017,Mcomeau,17,MC,2,15,m,42,,,,,,,,0,0
MC,35,24,7,2017,Mcomeau,17,MC,2,15,m,37,,,,,,,,0,0
MC,36,24,7,2017,Mcomeau,17,MC,2,15,m,42,,,,,,,,0,0
MC,37,24,7,2017,Mcomeau,17,MC,2,16,,,,,,,,,,0,0
MC,38,24,7,2017,Mcomeau,17,MC,2,17,f,30,,,,,,,,0,0
MC,39,24,7,2017,Mcomeau,17,MC,2,17,f,27,,,,,,,,0,0
MC,40,24,7,2017,Mcomeau,17,MC,2,17,f,50,,,,,,,,0,0
MC,41,24,7,2017,Mcomeau,17,MC,2,18,,,,,,,,,,0,0
