Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,18,7,2011,Bcomeau,,,,,28,RI,1,1,f,38,,,,,,,,,,,
2,18,7,2011,Bcomeau,,,,,28,RI,1,1,f,58,,,,,,,,,,,
3,18,7,2011,Bcomeau,,,,,28,RI,1,1,f,34,,,,,,,,,,,
4,18,7,2011,Bcomeau,,,,,28,RI,1,2,m,69,,,,,,,,,,,
5,18,7,2011,Bcomeau,,,,,28,RI,1,2,f,50,,,,,,,,,,,
6,18,7,2011,Bcomeau,,,,,28,RI,1,2,f,50,,,,,,,,,,,
7,18,7,2011,Bcomeau,,,,,28,RI,1,2,f,20,,,,,,,,,,,
8,18,7,2011,Bcomeau,,,,,28,RI,1,2,f,39,,,,,,,,,,,
9,18,7,2011,Bcomeau,,,,,28,RI,1,2,f,25,,,,,,,,,,,
10,18,7,2011,Bcomeau,,,,,28,RI,1,3,m,20,,,,,,,,,,,
11,18,7,2011,Bcomeau,,,,,28,RI,1,3,f,49,,,,,,,,,,,
12,18,7,2011,Bcomeau,,,,,28,RI,1,3,f,54,,,,,,,,,,,
13,18,7,2011,Bcomeau,,,,,28,RI,1,3,f,30,,,,,,,,,,,
14,18,7,2011,Bcomeau,,,,,28,RI,1,3,f,66,,,,,,,,,,,
15,18,7,2011,Bcomeau,,,,,28,RI,1,3,f,67,,,,,,,,,,,
16,18,7,2011,Bcomeau,,,,,28,RI,1,3,m,37,,,,,,,,,,,
17,18,7,2011,Bcomeau,,,,,28,RI,1,4,i,18,,,,,,,,,,,
18,18,7,2011,Bcomeau,,,,,28,RI,1,4,m,35,,,,,,,,,,,
19,18,7,2011,Bcomeau,,,,,28,RI,1,4,f,35,,,,,,,,,,,
20,18,7,2011,Bcomeau,,,,,28,RI,1,5,f,32,,,,,,,,,,,
21,18,7,2011,Bcomeau,,,,,28,RI,1,5,m,34,,,,,,,,,,,
22,18,7,2011,Bcomeau,,,,,28,RI,1,5,i,15,,,,,,,,,,,
23,18,7,2011,Bcomeau,,,,,28,RI,1,5,m,21,,,,,,,,,,,
24,18,7,2011,Bcomeau,,,,,28,RI,1,5,m,53,,,,,,,,,,,
25,18,7,2011,Bcomeau,,,,,28,RI,1,5,f,34,,,,,,,,,,,
26,18,7,2011,Bcomeau,,,,,28,RI,1,5,f,27,,,,,,,,,,,
27,18,7,2011,Bcomeau,,,,,28,RI,1,5,m,34,,,,,,,,,,,
28,18,7,2011,Bcomeau,,,,,28,RI,1,5,m,32,,,,,,,,,,,
29,18,7,2011,Bcomeau,,,,,28,RI,1,6,m,31,,,,,,,,,,,
30,18,7,2011,Bcomeau,,,,,28,RI,1,6,m,33,,,,,,,,,,,
31,18,7,2011,Bcomeau,,,,,28,RI,1,6,m,22,,,,,,,,,,,
32,18,7,2011,Bcomeau,,,,,28,RI,1,6,f,26,,,,,,,,,,,
33,18,7,2011,Bcomeau,,,,,28,RI,1,6,i,15,,,,,,,,,,,
34,18,7,2011,Bcomeau,,,,,28,RI,1,6,m,75,,,,,,,,,,,
35,18,7,2011,Bcomeau,,,,,28,RI,1,6,f,35,,,,,,,,,,,
36,18,7,2011,Bcomeau,,,,,27,RI,1,7,i,15,,,,,,,,,,,
37,18,7,2011,Bcomeau,,,,,28,RI,1,7,i,12,,,,,,,,,,,
38,18,7,2011,Bcomeau,,,,,28,RI,1,7,i,12,,,,,,,,,,,
39,18,7,2011,Bcomeau,,,,,28,RI,1,7,m,34,,,,,,,,,,,
40,18,7,2011,Bcomeau,,,,,28,RI,1,7,m,30,,,,,,,,,,,
41,18,7,2011,Bcomeau,,,,,28,RI,1,7,i,17,,,,,,,,,,,
42,18,7,2011,Bcomeau,,,,,28,RI,1,8,f,38,,,,,,,,,,,
43,18,7,2011,Bcomeau,,,,,28,RI,1,8,i,19,,,,,,,,,,,
44,18,7,2011,Bcomeau,,,,,28,RI,1,8,i,18,,,,,,,,,,,
45,18,7,2011,Bcomeau,,,,,28,RI,1,8,m,37,,,,,,,,,,,
46,18,7,2011,Bcomeau,,,,,28,RI,1,8,f,28,,,,,,,,,,,
47,18,7,2011,Bcomeau,,,,,28,RI,1,8,i,10,,,,,,,,,,,
48,18,7,2011,Bcomeau,,,,,28,RI,1,8,i,12,,,,,,,,,,,
49,18,7,2011,Bcomeau,,,,,28,RI,1,8,f,32,,,,,,,,,,,
50,18,7,2011,Bcomeau,,,,,28,RI,1,9,i,12,,,,,,,,,,,
51,18,7,2011,Bcomeau,,,,,28,RI,1,9,m,27,,,,,,,,,,,
52,18,7,2011,Bcomeau,,,,,28,RI,1,9,f,27,,,,,,,,,,,
53,18,7,2011,Bcomeau,,,,,28,RI,1,9,f,38,,,,,,,,,,,
54,18,7,2011,Bcomeau,,,,,28,RI,1,9,f,59,,,,,,,,,,,
55,18,7,2011,Bcomeau,,,,,28,RI,1,9,f,28,,,,,,,,,,,
56,18,7,2011,Bcomeau,,,,,28,RI,1,9,i,17,,,,,,,,,,,
57,18,7,2011,Bcomeau,,,,,28,RI,1,9,i,18,,,,,,,,,,,
58,18,7,2011,Bcomeau,,,,,28,RI,1,9,f,38,,,,,,,,,,,
59,18,7,2011,Bcomeau,,,,,28,RI,1,10,f,60,,,,,,,,,,,
60,18,7,2011,Bcomeau,,,,,28,RI,1,10,f,35,,,,,,,,,,,
61,18,7,2011,Bcomeau,,,,,28,RI,1,10,m,38,,,,,,,,,,,
62,18,7,2011,Bcomeau,,,,,28,RI,1,10,i,19,,,,,,,,,,,
63,18,7,2011,Bcomeau,,,,,28,RI,1,10,i,15,,,,,,,,,,,
64,18,7,2011,Bcomeau,,,,,28,RI,1,10,i,17,,,,,,,,,,,
65,18,7,2011,Bcomeau,,,,,28,RI,1,10,i,15,,,,,,,,,,,
66,18,7,2011,Bcomeau,,,,,28,RI,1,10,f,88,,,,,,,,,,,
67,18,7,2011,Mcomeau,,,,,28,RI,1,1,f,70,,,,,,,,,,,
68,18,7,2011,Mcomeau,,,,,28,RI,1,1,f,33,,,,,,,,,,,
69,18,7,2011,Mcomeau,,,,,28,RI,1,1,f,26,,,,,,,,,,,
70,18,7,2011,Mcomeau,,,,,28,RI,1,1,i,13,,,,,,,,,,,
