Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
1,17,7,2012,Bcomeau,,,,,,RI,1,1,m,34,,,,,,,,,,,,,
2,17,7,2012,Bcomeau,,,,,,RI,1,1,f,27,,,,,,,,,,,,,
3,17,7,2012,Bcomeau,,,,,,RI,1,1,m,58,,,,,,,,,,,,,
4,17,7,2012,Bcomeau,,,,,,RI,1,1,f,45,,,,,,,,,,,,,
5,17,7,2012,Bcomeau,,,,,,RI,1,1,i,11,,,,,,,,,,,,,
6,17,7,2012,Bcomeau,,,,,,RI,1,1,f,34,,,,,,,,,,,,,
7,17,7,2012,Bcomeau,,,,,,RI,1,1,i,15,,,,,,,,,,,,,
8,17,7,2012,Bcomeau,,,,,,RI,1,1,m,34,,,,,,,,,,,,Struct,
9,17,7,2012,Bcomeau,,,,,,RI,1,2,f,45,,,,,,,,,,,,,
10,17,7,2012,Bcomeau,,,,,,RI,1,2,f,39,,,,,,,,,,,,,
11,17,7,2012,Bcomeau,,,,,,RI,1,2,i,19,,,,,,,,,,,,,
12,17,7,2012,Bcomeau,,,,,,RI,1,2,i,15,,,,,,,,,,,,,
13,17,7,2012,Bcomeau,,,,,,RI,1,2,m,22,,,,,,,,,,,,,
14,17,7,2012,Bcomeau,,,,,,RI,1,2,m,24,,,,,,,,,,,,,
15,17,7,2012,Bcomeau,,,,,,RI,1,2,i,13,,,,,,,,,,,,,
16,17,7,2012,Bcomeau,,,,,,RI,1,2,m,53,,,,,,,,,,,,,
17,17,7,2012,Bcomeau,,,,,,RI,1,2,f,41,,,,,,,,,,,,Struct,
18,17,7,2012,Bcomeau,,,,,,RI,1,2,i,18,,,,,,,,,,,,Struct,
19,17,7,2012,Bcomeau,,,,,,RI,1,2,i,12,,,,,,,,,,,,Struct,
20,17,7,2012,Bcomeau,,,,,,RI,1,3,f,83,,,,,,,,,,,,,
21,17,7,2012,Bcomeau,,,,,,RI,1,3,b1,89,,,,,,,,,,,,,
22,17,7,2012,Bcomeau,,,,,,RI,1,3,f,44,,,,,,,,,,,,,
23,17,7,2012,Bcomeau,,,,,,RI,1,3,i,12,,,,,,,,,,,,,
24,17,7,2012,Bcomeau,,,,,,RI,1,3,m,42,,,,,,,,,,,,,
25,17,7,2012,Bcomeau,,,,,,RI,1,3,f,31,,,,,,,,,,,,,
26,17,7,2012,Bcomeau,,,,,,RI,1,3,f,41,,,,,,,,,,,,,
27,17,7,2012,Bcomeau,,,,,,RI,1,3,i,15,,,,,,,,,,,,,
28,17,7,2012,Bcomeau,,,,,,RI,1,3,f,43,,,,,,,,,,,,,
29,17,7,2012,Bcomeau,,,,,,RI,1,3,f,32,,,,,,,,,,,,,
30,17,7,2012,Bcomeau,,,,,,RI,1,3,i,15,,,,,,,,,,,,,
31,17,7,2012,Bcomeau,,,,,,RI,1,3,i,10,,,,,,,,,,,,,
32,17,7,2012,Bcomeau,,,,,,RI,1,3,i,10,,,,,,,,,,,,,
33,17,7,2012,Bcomeau,,,,,,RI,1,3,i,13,,,,,,,,,,,,,
34,17,7,2012,Bcomeau,,,,,,RI,1,4,m,22,,,,,,,,,,,,,
35,17,7,2012,Bcomeau,,,,,,RI,1,4,i,10,,,,,,,,,,,,,
36,17,7,2012,Bcomeau,,,,,,RI,1,4,m,48,,,,,,,,,,,,,
37,17,7,2012,Bcomeau,,,,,,RI,1,4,m,47,,,,,,,,,,,,,
38,17,7,2012,Bcomeau,,,,,,RI,1,4,f,27,,,,,,,,,,,,,
39,17,7,2012,Bcomeau,,,,,,RI,1,4,f,49,,,,,,,,,,,,,
40,17,7,2012,Bcomeau,,,,,,RI,1,4,f,50,,,,,,,,,,,,,
41,17,7,2012,Bcomeau,,,,,,RI,1,4,m,25,,,,,,,,,,,,,
