Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,
1,28,7,2015,Mcomeau,,,,,27,RI,1,1,f,52,,,,,,,,,,,,
2,28,7,2015,Mcomeau,,,,,27,RI,1,1,f,23,,,,,,,,,,,,
3,28,7,2015,Mcomeau,,,,,27,RI,1,1,m,40,,,,,,,,,,,,
4,28,7,2015,Mcomeau,,,,,27,RI,1,1,m,23,,,,,,,,,,,,
5,28,7,2015,Mcomeau,,,,,27,RI,1,1,f,21,,,,,,,,,,,,
6,28,7,2015,Mcomeau,,,,,27,RI,1,1,f,63,,,,,,,,,,,,
7,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,11,,,,,,,,,,,,
8,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,8,,,,,,,,,,,,
9,28,7,2015,Mcomeau,,,,,27,RI,1,1,f,26,,,,,,,,,,,,
10,28,7,2015,Mcomeau,,,,,27,RI,1,1,f,33,,,,,,,,,,,,
11,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,19,,,,,,,,,,,,
12,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,10,,,,,,,,,,,,
13,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,20,,,,,,,,,,,,
14,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,8,,,,,,,,,,,,
15,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,20,,,,,,,,,,,,
16,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,19,,,,,,,,,,,,
17,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,8,,,,,,,,,,,,
18,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,11,,,,,,,,,,,,
19,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,18,,,,,,,,,,,,
20,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,17,,,,,,,,,,,,
21,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,19,,,,,,,,,,,,
22,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,10,,,,,,,,,,,,
23,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,11,,,,,,,,,,,,
24,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,17,,,,,,,,,,,,
25,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,10,,,,,,,,,,,,
26,28,7,2015,Mcomeau,,,,,27,RI,1,1,i,8,,,,,,,,,,,,
