REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
RI,1,25,7,2016,Mcomeau,26,RI,1,2,i,16,,,,,,,,0,0
RI,2,25,7,2016,Mcomeau,26,RI,1,2,i,20,,,,,,,,0,0
RI,3,25,7,2016,Mcomeau,26,RI,1,2,f,35,,,,,,,,0,0
RI,4,25,7,2016,Mcomeau,26,RI,1,2,i,20,,,,,,,,0,0
RI,5,25,7,2016,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0
RI,6,25,7,2016,Mcomeau,26,RI,1,2,f,25,,,,,,,,0,0
RI,7,25,7,2016,Mcomeau,26,RI,1,2,i,17,,,,,,,,0,0
RI,8,25,7,2016,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0
RI,9,25,7,2016,Mcomeau,26,RI,1,2,f,36,,,,,,,,0,0
RI,10,25,7,2016,Mcomeau,26,RI,1,2,m,41,,,,,,,,0,0
RI,11,25,7,2016,Mcomeau,26,RI,1,2,i,17,,,,,,,,0,0
RI,12,25,7,2016,Mcomeau,26,RI,1,2,m,30,,,,,,,,0,0
RI,13,25,7,2016,Mcomeau,26,RI,1,2,m,81,,,,,,,,0,0
RI,14,25,7,2016,Mcomeau,26,RI,1,2,f,28,,,,,,,,0,0
RI,15,25,7,2016,Mcomeau,26,RI,1,2,f,32,,,,,,,,0,0
RI,16,25,7,2016,Mcomeau,26,RI,1,2,m,121,,,,,,,,0,0
RI,17,25,7,2016,Mcomeau,26,RI,1,2,i,35,,,,,,,,0,0
RI,18,25,7,2016,Mcomeau,26,RI,1,2,i,19,,,,,,,,0,0
RI,19,25,7,2016,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0
RI,20,25,7,2016,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0
RI,21,25,7,2016,Mcomeau,26,RI,1,2,i,17,,,,,,,,0,0
RI,22,25,7,2016,Mcomeau,26,RI,1,2,i,10,,,,,,,,0,0
RI,23,25,7,2016,Mcomeau,26,RI,1,2,i,13,,,,,,,,0,0
RI,24,25,7,2016,Mcomeau,26,RI,1,2,i,19,,,,,,,,0,0
RI,25,25,7,2016,Mcomeau,26,RI,1,2,i,18,,,,,,,,0,0
RI,26,25,7,2016,Mcomeau,26,RI,1,2,m,40,,,,,,,,0,0
RI,27,25,7,2016,Mcomeau,26,RI,1,2,i,18,,,,,,,,0,0
