REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM,
RI,1,20,7,2017,Mcomeau,26,RI,1,1,f,33,,,,,,,,0,0,
RI,2,20,7,2017,Mcomeau,26,RI,1,1,f,44,,,,,,,,0,0,
RI,3,20,7,2017,Mcomeau,26,RI,1,1,f,67,,,,,,,,0,0,
RI,4,20,7,2017,Mcomeau,26,RI,1,1,f,22,,,,,,,,0,0,
RI,5,20,7,2017,Mcomeau,26,RI,1,1,f,32,,,,,,,,0,0,
RI,6,20,7,2017,Mcomeau,26,RI,1,1,f,59,,,,,,,,0,0,
RI,7,20,7,2017,Mcomeau,26,RI,1,1,f,26,,,,,,,,0,0,
RI,8,20,7,2017,Mcomeau,26,RI,1,1,f,27,,,,,,,,0,0,
RI,9,20,7,2017,Mcomeau,26,RI,1,1,f,24,,,,,,,,0,0,
RI,10,20,7,2017,Mcomeau,26,RI,1,1,f,22,,,,,,,,0,0,
RI,11,20,7,2017,Mcomeau,26,RI,1,1,f,22,,,,,,,,0,0,
RI,12,20,7,2017,Mcomeau,26,RI,1,1,f,24,,,,,,,,0,0,
RI,13,20,7,2017,Mcomeau,26,RI,1,1,f,46,,,,,,,,0,0,
RI,14,20,7,2017,Mcomeau,26,RI,1,1,i,18,,,,,,,,0,0,
RI,15,20,7,2017,Mcomeau,26,RI,1,1,i,12,,,,,,,,0,0,
RI,16,20,7,2017,Mcomeau,26,RI,1,1,i,26,,,,,,,,0,0,
RI,17,20,7,2017,Mcomeau,26,RI,1,1,i,13,,,,,,,,0,0,
RI,18,20,7,2017,Mcomeau,26,RI,1,1,i,18,,,,,,,,0,0,
RI,19,20,7,2017,Mcomeau,26,RI,1,1,i,18,,,,,,,,0,0,
RI,20,20,7,2017,Mcomeau,26,RI,1,1,m,34,,,,,,,,0,0,
RI,21,20,7,2017,Mcomeau,26,RI,1,1,m,59,,,,,,,,0,0,
RI,22,20,7,2017,Mcomeau,26,RI,1,1,m,47,,,,,,,,0,0,
RI,23,20,7,2017,Mcomeau,26,RI,1,1,m,28,,,,,,,,0,0,
RI,24,20,7,2017,Mcomeau,26,RI,1,1,m,59,,,,,,,,0,0,
RI,25,20,7,2017,Mcomeau,26,RI,1,1,m,23,,,,,,,,0,0,
RI,26,20,7,2017,Mcomeau,26,RI,1,1,m,27,,,,,,,,0,0,
RI,27,20,7,2017,Mcomeau,26,RI,1,1,m,23,,,,,,,,0,0,
RI,28,20,7,2017,Mcomeau,26,RI,1,1,m,32,,,,,,,,0,0,
RI,29,20,7,2017,Mcomeau,26,RI,1,1,m,31,,,,,,,,0,0,
RI,30,20,7,2017,Mcomeau,26,RI,1,2,f,43,,,,,,,,0,0,
RI,31,20,7,2017,Mcomeau,26,RI,1,2,f,23,,,,,,,,0,0,
RI,32,20,7,2017,Mcomeau,26,RI,1,2,f,32,,,,,,,,0,0,
RI,33,20,7,2017,Mcomeau,26,RI,1,2,f,77,,,,,,,,0,0,
RI,34,20,7,2017,Mcomeau,26,RI,1,2,f,24,,,,,,,,0,0,
RI,35,20,7,2017,Mcomeau,26,RI,1,2,f,22,,,,,,,,0,0,
RI,36,20,7,2017,Mcomeau,26,RI,1,2,f,25,,,,,,,,0,0,
RI,37,20,7,2017,Mcomeau,26,RI,1,2,f,23,,,,,,,,0,0,
RI,38,20,7,2017,Mcomeau,26,RI,1,2,f,21,,,,,,,,0,0,
RI,39,20,7,2017,Mcomeau,26,RI,1,2,f,24,,,,,,,,0,0,
RI,40,20,7,2017,Mcomeau,26,RI,1,2,f,32,,,,,,,,0,0,
RI,41,20,7,2017,Mcomeau,26,RI,1,2,f,32,,,,,,,,0,0,
RI,42,20,7,2017,Mcomeau,26,RI,1,2,f,34,,,,,,,,0,0,
RI,43,20,7,2017,Mcomeau,26,RI,1,2,f,25,,,,,,,,0,0,
RI,44,20,7,2017,Mcomeau,26,RI,1,2,f,62,,,,,,,,0,0,
RI,45,20,7,2017,Mcomeau,26,RI,1,2,b3,70,,,,,,,,0,0,
RI,46,20,7,2017,Mcomeau,26,RI,1,2,i,16,,,,,,,,0,0,
RI,47,20,7,2017,Mcomeau,26,RI,1,2,i,18,,,,,,,,0,0,
RI,48,20,7,2017,Mcomeau,26,RI,1,2,i,16,,,,,,,,0,0,
RI,49,20,7,2017,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,50,20,7,2017,Mcomeau,26,RI,1,2,i,17,,,,,,,,0,0,
RI,51,20,7,2017,Mcomeau,26,RI,1,2,i,19,,,,,,,,0,0,
RI,52,20,7,2017,Mcomeau,26,RI,1,2,i,20,,,,,,,,0,0,
RI,53,20,7,2017,Mcomeau,26,RI,1,2,i,17,,,,,,,,0,0,
RI,54,20,7,2017,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,55,20,7,2017,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,56,20,7,2017,Mcomeau,26,RI,1,2,i,13,,,,,,,,0,0,
RI,57,20,7,2017,Mcomeau,26,RI,1,2,i,16,,,,,,,,0,0,
RI,58,20,7,2017,Mcomeau,26,RI,1,2,i,19,,,,,,,,0,0,
RI,59,20,7,2017,Mcomeau,26,RI,1,2,m,24,,,,,,,,0,0,
RI,60,20,7,2017,Mcomeau,26,RI,1,2,m,32,,,,,,,,0,0,
RI,61,20,7,2017,Mcomeau,26,RI,1,2,m,22,,,,,,,,0,0,
RI,62,20,7,2017,Mcomeau,26,RI,1,2,m,63,,,,,,,,0,0,
RI,63,20,7,2017,Mcomeau,26,RI,1,2,m,27,,,,,,,,0,0,
RI,64,20,7,2017,Mcomeau,26,RI,1,2,m,36,,,,,,,,0,0,
RI,65,20,7,2017,Mcomeau,26,RI,1,2,m,24,,,,,,,,0,0,
RI,66,20,7,2017,Mcomeau,26,RI,1,2,m,38,,,,,,,,0,0,
RI,67,20,7,2017,Mcomeau,26,RI,1,2,m,22,,,,,,,,0,0,
RI,68,20,7,2017,Mcomeau,26,RI,1,2,m,47,,,,,,,,0,0,
RI,69,20,7,2017,Mcomeau,26,RI,1,2,m,29,,,,,,,,0,0,
RI,70,20,7,2017,Mcomeau,26,RI,1,2,m,34,,,,,,,,0,0,
RI,71,20,7,2017,Mcomeau,26,RI,1,2,m,26,,,,,,,,0,0,
RI,72,20,7,2017,Mcomeau,26,RI,1,2,m,25,,,,,,,,0,0,
RI,73,20,7,2017,Mcomeau,26,RI,1,2,m,29,,,,,,,,0,0,
RI,74,20,7,2017,Mcomeau,26,RI,1,2,m,85,,,,,,,,0,0,
RI,75,20,7,2017,Mcomeau,26,RI,1,2,m,28,,,,,,,,0,0,
RI,76,20,7,2017,Mcomeau,26,RI,1,2,m,27,,,,,,,,0,0,
RI,77,20,7,2017,Mcomeau,26,RI,1,3,f,35,,,,,,,,0,0,
RI,78,20,7,2017,Mcomeau,26,RI,1,3,f,62,,,,,,,,0,0,
RI,79,20,7,2017,Mcomeau,26,RI,1,3,f,71,,,,,,,,0,0,
RI,80,20,7,2017,Mcomeau,26,RI,1,3,f,70,,,,,,,,0,0,
RI,81,20,7,2017,Mcomeau,26,RI,1,3,f,23,,,,,,,,0,0,
RI,82,20,7,2017,Mcomeau,26,RI,1,3,f,23,,,,,,,,0,0,
RI,83,20,7,2017,Mcomeau,26,RI,1,3,f,24,,,,,,,,0,0,
RI,84,20,7,2017,Mcomeau,26,RI,1,3,f,52,,,,,,,,0,0,
RI,85,20,7,2017,Mcomeau,26,RI,1,3,f,52,,,,,,,,0,0,
RI,86,20,7,2017,Mcomeau,26,RI,1,3,f,31,,,,,,,,0,0,
