Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,26,7,2012,Mcomeau,,,,,,SH,1,1,m,65,,,,,,,,,,,
2,26,7,2012,Mcomeau,,,,,,SH,1,6,m,36,,,,,,,,,,,
3,26,7,2012,Mcomeau,,,,,,SH,1,8,m,47,,,,,,,,,,,
4,26,7,2012,Mcomeau,,,,,,SH,1,9,m,60,,,,,,,,,,,
5,26,7,2012,Mcomeau,,,,,,SH,1,10,f,34,,,,,,,,,,,
6,26,7,2012,Mcomeau,,,,,,SH,1,10,f,49,,,,,,,,,,,
7,26,7,2012,Mcomeau,,,,,,SH,1,11,f,70,,,,,,,,,,,
8,26,7,2012,Mcomeau,,,,,,SH,1,13,f,38,,,,,,,,,,,
9,26,7,2012,Mcomeau,,,,,,SH,1,15,m,35,,,,,,,,,,,
10,26,7,2012,Mcomeau,,,,,,SH,1,17,f,70,,,,,,,,,,,
11,26,7,2012,Mcomeau,,,,,,SH,1,18,m,55,,,,,,,,,,,
12,26,7,2012,Mcomeau,,,,,,SH,1,18,m,29,,,,,,,,,,,
13,26,7,2012,Mcomeau,,,,,,SH,1,20,m,58,,,,,,,,,,,
14,26,7,2012,Bcomeau,,,,,,SH,1,1,f,60,,,,,,,,,,,
15,26,7,2012,Bcomeau,,,,,,SH,1,14,m,67,,,,,,,,,,,
16,26,7,2012,Bcomeau,,,,,,SH,1,14,m,60,,,,,,,,,,,
17,26,7,2012,Bcomeau,,,,,,SH,1,16,m,70,,,,,,,,,,,
18,26,7,2012,Bcomeau,,,,,,SH,1,16,f,30,,,,,,,,,,,
19,26,7,2012,Bcomeau,,,,,,SH,1,17,i,75,,,,,,,,,,,
20,26,7,2012,Gpaulin,,,,,,SH,2,12,f,41,,,,,,,,,,,
21,26,7,2012,Gpaulin,,,,,,SH,2,16,f,51,,,,,,,,,,,
22,26,7,2012,Gpaulin,,,,,,SH,2,17,,,,,,,,,,,,,
23,26,7,2012,Gpaulin,,,,,,SH,2,18,f,50,,,,,,,,,,,
24,26,7,2012,Gpaulin,,,,,,SH,2,19,f,48,,,,,,,,,,,
25,26,7,2012,Mcomeau,,,,,,SH,2,1,m,45,,,,,,,,,,,
26,26,7,2012,Mcomeau,,,,,,SH,2,4,f,55,,,,,,,,,,,
27,26,7,2012,Mcomeau,,,,,,SH,2,4,f,72,,,,,,,,,,,
28,26,7,2012,Mcomeau,,,,,,SH,2,7,f,53,,,,,,,,,,,
29,26,7,2012,Mcomeau,,,,,,SH,2,16,,,,,,,,,,,,,
30,26,7,2012,Mcomeau,,,,,,SH,2,17,f,35,,,,,,,,,,,
31,26,7,2012,Mcomeau,,,,,,SH,2,17,f,21,,,,,,,,,,,
32,26,7,2012,Mcomeau,,,,,,SH,2,17,m,125,,,,,,,,,,,
33,26,7,2012,Mcomeau,,,,,,SH,2,19,f,85,,,,,,,,,,,
34,26,7,2012,Mcomeau,,,,,,SH,2,19,m,50,,,,,,,,,,,
35,26,7,2012,Mcomeau,,,,,,SH,2,20,f,52,,,,,,,,,,,
36,26,7,2012,Mcomeau,,,,,,SH,2,20,m,35,,,,,,,,,,,
37,26,7,2012,Mcomeau,,,,,,SH,3,2,f,58,,,,,,,,,,,
38,26,7,2012,Mcomeau,,,,,,SH,3,3,,,,,,,,,,,,,
39,26,7,2012,Mcomeau,,,,,,SH,3,4,f,26,,,,,,,,,,,
40,26,7,2012,Mcomeau,,,,,,SH,3,4,f,36,,,,,,,,,,,
41,26,7,2012,Mcomeau,,,,,,SH,3,4,f,26,,,,,,,,,,,
42,26,7,2012,Mcomeau,,,,,,SH,3,4,f,29,,,,,,,,,,,
