Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
1,18,6,2014,Bcomeau,,,,,26,SH,1,1,m,31,,,,,,,,,,,,,
2,18,6,2014,Bcomeau,,,,,26,SH,1,1,i,12,,,,,,,,,,,,,
3,18,6,2014,Bcomeau,,,,,26,SH,1,7,i,15,,,,,,,,,,,,,
4,18,6,2014,Bcomeau,,,,,26,SH,1,7,m,56,,,,,,,,,,,,,
5,18,6,2014,Bcomeau,,,,,26,SH,1,8,,,,,,,,,,,,,,,
6,18,6,2014,Bcomeau,,,,,26,SH,1,11,,,,,,,,,,,,,,,
7,18,6,2014,Bcomeau,,,,,26,SH,1,13,f,58,,,,,,,,,,,,,
8,18,6,2014,Bcomeau,,,,,26,SH,1,13,m,64,,,,,,,,,,,,,
9,18,6,2014,Bcomeau,,,,,26,SH,1,13,f,80,,,,,,,,,,,,,
10,18,6,2014,Bcomeau,,,,,26,SH,1,14,m,140,,,,,,,,,,,,,
11,18,6,2014,Bcomeau,,,,,26,SH,1,14,i,18,,,,,,,,,,,,,
12,18,6,2014,Bcomeau,,,,,26,SH,1,15,f,94,,,,,,,,,,,,,
13,18,6,2014,Bcomeau,,,,,26,SH,1,16,m,24,,,,,,,,,,,,,
14,18,6,2014,Bcomeau,,,,,26,SH,1,16,f,84,,,,,,,,,,,,,
15,18,6,2014,Bcomeau,,,,,26,SH,1,16,f,47,,,,,,,,,,,,,
16,18,6,2014,Bcomeau,,,,,26,SH,1,17,i,18,,,,,,,,,,,,,
17,18,6,2014,Bcomeau,,,,,26,SH,1,20,f,69,,,,,,,,,,,,,
18,18,6,2014,Gpaulin,,,,,26,SH,1,1,m,62,,,,,,,,,,,,,
19,18,6,2014,Gpaulin,,,,,26,SH,1,4,,,,,,,,,,,,,,,
20,18,6,2014,Gpaulin,,,,,26,SH,1,5,f,61,,,,,,,,,,,,,
21,18,6,2014,Gpaulin,,,,,26,SH,1,5,m,50,,,,,,,,,,,,,
22,18,6,2014,Gpaulin,,,,,26,SH,1,6,i,18,,,,,,,,,,,,,
23,18,6,2014,Gpaulin,,,,,26,SH,1,7,m,52,,,,,,,,,,,,,
24,18,6,2014,Gpaulin,,,,,26,SH,1,8,f,70,,,,,,,,,,,,,
25,18,6,2014,Gpaulin,,,,,26,SH,1,9,m,32,,,,,,,,,,,,,
26,18,6,2014,Gpaulin,,,,,26,SH,1,9,m,75,,,,,,,,,,,,,
27,18,6,2014,Gpaulin,,,,,26,SH,1,9,f,75,,,,,,,,,,,,,
28,18,6,2014,Gpaulin,,,,,26,SH,1,13,i,18,,,,,,,,,,,,,
29,18,6,2014,Gpaulin,,,,,26,SH,1,14,m,35,,,,,,,,,,,,,
30,18,6,2014,Gpaulin,,,,,26,SH,1,14,i,20,,,,,,,,,,,,,
31,18,6,2014,Gpaulin,,,,,26,SH,1,14,f,55,,,,,,,,,,,,,
32,18,6,2014,Gpaulin,,,,,26,SH,1,14,f,32,,,,,,,,,,,,,
33,18,6,2014,Gpaulin,,,,,26,SH,1,14,m,38,,,,,,,,,,,,,
34,18,6,2014,Gpaulin,,,,,26,SH,1,15,m,75,,,,,,,,,,,,,
35,18,6,2014,Gpaulin,,,,,26,SH,1,15,b,81,,,,,,,,,,,,,
36,18,6,2014,Gpaulin,,,,,26,SH,1,16,m,37,,,,,,,,,,,,,
37,18,6,2014,Gpaulin,,,,,26,SH,1,16,m,45,,,,,,,,,,,,,
38,18,6,2014,Gpaulin,,,,,26,SH,1,16,i,18,,,,,,,,,,,,,
39,18,6,2014,Gpaulin,,,,,26,SH,1,17,i,15,,,,,,,,,,,,,
40,18,6,2014,Gpaulin,,,,,26,SH,1,17,f,71,,,,,,,,,,,,,
41,18,6,2014,Gpaulin,,,,,26,SH,1,17,f,35,,,,,,,,,,,,,
42,18,6,2014,Gpaulin,,,,,26,SH,1,18,f,60,,,,,,,,,,,,,
43,18,6,2014,Gpaulin,,,,,26,SH,1,18,i,18,,,,,,,,,,,,,
44,18,6,2014,Gpaulin,,,,,26,SH,1,19,m,100,,,,,,,,,,,,,
45,18,6,2014,Gpaulin,,,,,26,SH,1,19,i,12,,,,,,,,,,,,,
46,18,6,2014,Gpaulin,,,,,26,SH,1,20,i,20,,,,,,,,,,,,,
47,18,6,2014,Dgiard,,,,,23,SH,2,1,m,60,,,,,,,,,,,,,
48,18,6,2014,Dgiard,,,,,23,SH,2,1,f,31,,,,,,,,,,,,,
49,18,6,2014,Dgiard,,,,,23,SH,2,1,m,30,,,,,,,,,,,,,
50,18,6,2014,Dgiard,,,,,23,SH,2,3,m,100,,,,,,,,,,,,,
