REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
SH,1,29,6,2017,Mcomeau,26,SH,2,2,m,23,0,0,1,1,1,1,0,0,0
SH,2,29,6,2017,Mcomeau,26,SH,2,2,m,43,,,,,,,,0,0
SH,3,29,6,2017,Mcomeau,26,SH,2,2,m,50,,,,,,,,0,0
SH,4,29,6,2017,Mcomeau,26,SH,2,2,f,74,,,,,,,,0,0
SH,5,29,6,2017,Mcomeau,26,SH,2,3,m,47,,,,,,,,0,0
SH,6,29,6,2017,Mcomeau,26,SH,2,3,f,59,,,,,,,,0,0
SH,7,29,6,2017,Mcomeau,26,SH,2,3,m,76,,,,,,,,0,0
SH,8,29,6,2017,Mcomeau,26,SH,2,3,m,63,,,,,,,,0,0
SH,9,29,6,2017,Mcomeau,26,SH,2,3,f,101,,,,,,,,0,0
SH,10,29,6,2017,Mcomeau,26,SH,2,3,f,59,,,,,,,,0,0
SH,11,29,6,2017,Mcomeau,26,SH,2,3,m,30,,,,,,,,0,0
SH,12,29,6,2017,Mcomeau,26,SH,2,3,f,55,,,,,,,,0,0
SH,13,29,6,2017,Mcomeau,26,SH,2,3,f,50,,,,,,,,0,0
SH,14,29,6,2017,Mcomeau,26,SH,2,4,f,48,,,,,,,,0,0
SH,15,29,6,2017,Mcomeau,26,SH,2,4,f,49,,,,,,,,0,0
SH,16,29,6,2017,Mcomeau,26,SH,2,4,m,32,,,,,,,,0,0
SH,17,29,6,2017,Mcomeau,26,SH,2,4,f,45,,,,,,,,0,0
SH,18,29,6,2017,Mcomeau,26,SH,2,4,m,53,,,,,,,,0,0
SH,19,29,6,2017,Mcomeau,26,SH,2,5,m,58,,,,,,,,0,0
SH,20,29,6,2017,Mcomeau,26,SH,2,5,m,73,,,,,,,,0,0
SH,21,29,6,2017,Mcomeau,26,SH,2,5,f,46,,,,,,,,0,0
SH,22,29,6,2017,Mcomeau,26,SH,2,5,f,73,,,,,,,,0,0
SH,23,29,6,2017,Mcomeau,26,SH,2,5,m,45,,,,,,,,0,0
SH,24,29,6,2017,Mcomeau,26,SH,2,5,m,58,,,,,,,,0,0
SH,25,29,6,2017,Mcomeau,26,SH,2,7,m,38,,,,,,,,0,0
SH,26,29,6,2017,Mcomeau,26,SH,2,7,m,45,,,,,,,,0,0
SH,27,29,6,2017,Mcomeau,26,SH,2,7,m,45,,,,,,,,0,0
SH,28,29,6,2017,Mcomeau,26,SH,2,7,m,45,,,,,,,,0,0
SH,29,29,6,2017,Mcomeau,26,SH,2,7,i,23,,,,,,,,0,0
SH,30,29,6,2017,Mcomeau,26,SH,2,7,f,68,,,,,,,,0,0
SH,31,29,6,2017,Mcomeau,26,SH,2,8,m,32,,,,,,,,0,0
SH,32,29,6,2017,Mcomeau,26,SH,2,8,f,59,,,,,,,,0,0
SH,33,29,6,2017,Mcomeau,26,SH,2,8,f,68,,,,,,,,0,0
SH,34,29,6,2017,Mcomeau,26,SH,2,8,f,30,,,,,,,,0,0
SH,35,29,6,2017,Mcomeau,26,SH,2,8,f,50,,,,,,,,0,0
SH,36,29,6,2017,Mcomeau,26,SH,2,8,f,51,,,,,,,,0,0
SH,37,29,6,2017,Mcomeau,26,SH,2,15,m,29,,,,,,,,0,0
SH,38,29,6,2017,Mcomeau,25,SH,2,15,f,29,,,,,,,,0,0
SH,39,29,6,2017,Mcomeau,25,SH,2,15,f,58,,,,,,,,0,0
SH,40,29,6,2017,Mcomeau,25,SH,2,15,m,28,,,,,,,,0,0
SH,41,29,6,2017,Mcomeau,25,SH,2,15,f,38,,,,,,,,0,0
SH,42,29,6,2017,Mcomeau,25,SH,2,15,m,39,,,,,,,,0,0
SH,43,29,6,2017,Mcomeau,25,SH,2,15,m,42,,,,,,,,0,0
SH,44,29,6,2017,Mcomeau,25,SH,2,15,m,35,,,,,,,,0,0
SH,45,29,6,2017,Mcomeau,25,SH,2,15,m,28,,,,,,,,0,0
SH,46,29,6,2017,Mcomeau,25,SH,2,15,m,32,,,,,,,,0,0
SH,47,29,6,2017,Mcomeau,25,SH,2,15,f,32,,,,,,,,0,0
SH,48,29,6,2017,Mcomeau,25,SH,2,15,f,46,,,,,,,,0,0
SH,49,29,6,2017,Mcomeau,25,SH,2,16,m,88,,,,,,,,0,0
SH,50,29,6,2017,Mcomeau,25,SH,2,16,m,85,,,,,,,,0,0
SH,51,29,6,2017,Mcomeau,25,SH,2,16,f,20,,,,,,,,0,0
SH,52,29,6,2017,Mcomeau,25,SH,2,16,i,32,,,,,,,,0,0
SH,53,29,6,2017,Mcomeau,25,SH,2,16,m,45,,,,,,,,0,0
SH,54,29,6,2017,Mcomeau,25,SH,2,17,m,29,,,,,,,,0,0
SH,55,29,6,2017,Mcomeau,25,SH,2,17,m,37,,,,,,,,0,0
SH,56,29,6,2017,Mcomeau,25,SH,2,17,f,46,,,,,,,,0,0
SH,57,29,6,2017,Mcomeau,25,SH,2,17,m,76,,,,,,,,0,0
SH,58,29,6,2017,Mcomeau,25,SH,2,17,f,34,,,,,,,,0,0
SH,59,29,6,2017,Mcomeau,25,SH,2,17,m,31,,,,,,,,0,0
