Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,,,,,,
1,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,1,m,71,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
2,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,2,m,95,,0,0,0,1,1,1,Simple,2LS,,,,,,,,,,,,,
3,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,3,m,15,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
4,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,3,m,56,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
5,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,3,b,90,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
6,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,3,m,51,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
7,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,4,,,,0,0,0,1,1,1,Simple,3LS,,,,,,,,,,,,,
8,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,5,f,66,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
9,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,6,f,42,,0,1,0,1,0,1,Simple,,,,,,,,,,,,,,
10,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,8,i,70,Can,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
11,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,30,SH,1,10,m,118,,0,0,1,1,0,0,Simple,,,,,,,,,,,,,,
12,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,29,SH,1,11,,,,0,1,1,1,1,1,Simple,,,,,,,,,,,,,,
13,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,12,,,,0,0,1,1,1,0,Simple,LS,,,,,,,,,,,,,
