Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,,,,,,,
1,20,6,2006,Bcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,6,,,,0,0,1,1,0,1,0,Simple,2LS,,3LS,,,,,,,,
2,20,6,2006,Bcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,7,,,,0,0,1,1,0,0,1,Simple,LS,,4LS,,,,,,,,
3,20,6,2006,Bcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,8,f,27,,0,0,1,0,0,1,0,Simple,,,5LS,,,,,,,,
4,20,6,2006,Bcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,9,f,65,,0,0,1,1,0,0,1,Simple,,,5LS,,,,,,,,
5,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,1,,,,1,1,0,1,0,1,0,Simple,,,LS,,,,,,,,
6,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,2,f,45,,1,1,0,0,0,1,1,Simple,,,LS,,,,,,,,
7,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,6,f,52,,1,1,0,0,1,0,1,Simple,,,LS,,,,,,,,
8,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,6,m,62,,1,1,0,0,1,0,1,Simple,,,LS,,,,,,,,
9,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,7,m,52,,0,1,0,1,1,0,1,Simple,,,LS,,,,,,,,
10,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,8,,,,1,1,0,1,0,0,1,Simple,,,LS,,,,,,,,
11,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,9,m,37,,1,1,0,1,0,0,1,Simple,,,LS,,,,,,,,
12,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,10,,,,0,0,1,1,0,0,0,Simple,,,LS,,,,,,,,
13,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,11,,,,1,0,1,1,1,0,0,Simple,2LS,,LS,,,,,,,,
14,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,12,f,48,,1,1,1,0,1,0,0,Simple,EX69M,,LS,,,,,,,,
15,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,13,m,50,,1,1,1,1,0,1,1,Simple,5LS,,LS,,,,,,,,
16,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,13,m,35,,1,1,1,1,0,1,1,Simple,LS,,LS,,,,,,,,
17,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,13,m,42,,1,1,1,1,0,1,1,Simple,3LS,,LS,,,,,,,,
18,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,14,,,,0,1,1,1,0,1,1,Simple,,,LS,,,,,,,,
19,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,15,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
20,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,16,f,45,,1,1,1,1,1,1,0,Simple,,,,,,,,,,,
21,20,6,2006,Mcomeau,4615.874,6427.864,4615.88,6427.939,28,SH,1,20,,,,0,1,1,1,0,0,0,Simple,3LS,,,,,,,,,,
22,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,12,,,,1,0,1,1,0,1,0,Simple,LS,,,,,,,,,,
23,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,13,f,38,,1,0,1,1,0,1,1,Simple,,,,,,,,,,,
24,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,14,m,105,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
25,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,15,,,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
26,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,16,,,,1,0,1,1,0,0,1,Simple,,,,,,,,,,,
27,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,17,,,,0,0,1,0,0,0,1,Simple,LS,,,,,,,,,,
28,20,6,2006,Gpaulin,4615.827,6427.875,4615.827,6427.948,28,SH,2,18,,,,0,0,1,0,0,0,1,Simple,,,,,,,,,,,
29,20,6,2006,Rvienneau,4615.827,6427.875,4615.827,6427.948,28,SH,2,13,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
30,20,6,2006,Rvienneau,4615.827,6427.875,4615.827,6427.948,28,SH,2,16,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
31,20,6,2006,Rvienneau,4615.827,6427.875,4615.827,6427.948,28,SH,2,17,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
32,20,6,2006,Rvienneau,4615.827,6427.875,4615.827,6427.948,28,SH,2,18,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
33,20,6,2006,Rvienneau,4615.827,6427.875,4615.827,6427.948,28,SH,2,19,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
34,20,6,2006,Rvienneau,4615.827,6427.875,4615.827,6427.948,28,SH,2,20,,,,1,0,1,1,0,1,0,Simple,,,,,,,,,,,
35,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,1,f,72,,1,1,0,1,1,1,1,Simple,2LS,,,,,,,,,,
36,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,2,m,45,,1,1,0,1,1,1,1,Simple,4LS,,,,,,,,,,
37,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,2,m,38,,1,1,0,1,1,1,1,Simple,,,,,,,,,,,
38,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,2,f,38,,1,1,0,1,1,1,1,Simple,,,,,,,,,,,
39,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,3,,,,1,1,0,1,1,1,1,Simple,EX59F3LS,,,,,,,,,,
40,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,4,,,,1,1,1,1,1,1,1,Simple,,,,,,,,,,,
41,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,5,f,80,,1,1,1,1,0,0,1,Simple,,,,,,,,,,,
42,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,6,m,126,,1,1,1,1,0,0,0,Simple,,,,,,,,,,,
43,20,6,2006,Mcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,7,,,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
44,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,13,,,,0,1,0,0,0,1,0,Simple,,,,,,,,,,,
45,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,14,,,,0,1,0,0,0,1,1,Simple,,,,,,,,,,,
46,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,15,,,,0,1,0,0,1,1,1,Simple,LS,,,,,,,,,,
47,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,16,m,96,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
48,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,16,m,129,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
49,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,16,m,129,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
50,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,17,,,,0,1,0,0,0,1,1,Simple,,,,,,,,,,,
51,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,18,,,,0,1,0,0,0,1,1,Simple,3LS,,,,,,,,,,
52,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,19,f,69,,0,1,0,0,0,1,1,Simple,LS,,,,,,,,,,
53,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,19,m,70,,0,1,0,0,0,1,1,Simple,,,,,,,,,,,
54,20,6,2006,Bcomeau,4615.78,6427.781,4615.785,6427.8646,30,SH,3,20,,,,0,0,1,0,0,1,1,Simple,,,,,,,,,,,
55,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,1,m,80,,0,0,0,1,0,0,1,Simple,,,,,,,,,,,
56,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,2,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
57,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,3,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
58,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,4,,,,0,0,1,1,0,1,0,Simple,LS,,,,,,,,,,
59,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,5,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
60,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,6,,,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
61,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,7,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
62,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,8,,,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
63,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,9,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
64,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,10,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
65,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,11,,,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
66,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,12,m,73,,0,0,0,1,0,1,1,Simple,EX54,,,,,,,,,,
67,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,13,,,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
68,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,14,,,,0,0,1,1,0,1,0,Simple,LS,,,,,,,,,,
69,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,16,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
70,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,17,f,60,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
71,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,18,,,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
72,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,19,m,48,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
73,20,6,2006,Bcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,20,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
74,20,6,2006,Mcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,1,,,,1,0,1,1,1,0,1,Simple,3LS,,,,,,,,,,
75,20,6,2006,Mcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,2,,,,1,0,1,1,1,0,1,Simple,LS,,,,,,,,,,
