REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
TR,1,3,8,2016,Mcomeau,34,TR,1,6,m,32,,,,,,,,0,0
TR,2,3,8,2016,Mcomeau,34,TR,1,6,m,53,,,,,,,,0,0
TR,3,3,8,2016,Mcomeau,34,TR,1,9,m,55,,,,,,,,0,0
TR,4,3,8,2016,Mcomeau,34,TR,1,15,m,58,,,,,,,,0,0
TR,5,3,8,2016,Mcomeau,34,TR,1,16,,,,,,,,,,0,0
TR,6,3,8,2016,Mcomeau,34,TR,1,17,m,34,,,,,,,,0,0
TR,7,3,8,2016,Mcomeau,34,TR,1,17,i,47,,,,,,,,0,0
TR,8,3,8,2016,Mcomeau,34,TR,1,19,f,41,,,,,,,,0,0
TR,9,3,8,2016,Bcomeau,34,TR,1,1,m,70,,,,,,,,0,0
TR,10,3,8,2016,Bcomeau,34,TR,1,4,f,46,,,,,,,,0,0
TR,11,3,8,2016,Bcomeau,34,TR,1,12,f,46,,,,,,,,0,0
TR,12,3,8,2016,Bcomeau,34,TR,1,12,f,62,,,,,,,,0,0
TR,13,3,8,2016,Bcomeau,34,TR,1,12,m,54,,,,,,,,0,0
TR,14,3,8,2016,Mcomeau,25,TR,2,2,m,60,,,,,,,,0,0
TR,15,3,8,2016,Mcomeau,25,TR,2,2,m,43,,,,,,,,0,0
TR,16,3,8,2016,Mcomeau,25,TR,2,2,f,34,,,,,,,,0,0
TR,17,3,8,2016,Mcomeau,25,TR,2,5,m,122,,,,,,,,0,0
TR,18,3,8,2016,Mcomeau,25,TR,2,5,m,33,,,,,,,,0,0
TR,19,3,8,2016,Mcomeau,25,TR,2,5,f,38,,,,,,,,0,0
TR,20,3,8,2016,Mcomeau,25,TR,2,10,f,78,,,,,,,,0,0
TR,21,3,8,2016,Mcomeau,25,TR,2,10,f,68,,,,,,,,0,0
TR,22,3,8,2016,Mcomeau,25,TR,2,10,f,78,,,,,,,,0,0
TR,23,3,8,2016,Bcomeau,25,TR,2,1,i,25,,,,,,,,0,0
TR,24,3,8,2016,Bcomeau,25,TR,2,4,f,48,,,,,,,,0,0
TR,25,3,8,2016,Bcomeau,25,TR,2,5,f,59,,,,,,,,0,0
TR,26,3,8,2016,Bcomeau,25,TR,2,8,m,49,,,,,,,,0,0
TR,27,3,8,2016,Bcomeau,25,TR,2,9,m,55,,,,,,,,0,0
TR,28,3,8,2016,Bcomeau,25,TR,2,13,f,76,,,,,,,,0,0
TR,29,3,8,2016,Bcomeau,25,TR,2,15,f,58,,,,,,,,0,0
TR,30,3,8,2016,Bcomeau,25,TR,2,20,m,50,,,,,,,,0,0
TR,31,3,8,2016,Mcomeau,31,TR,3,3,m,28,,,,,,,,0,0
TR,32,3,8,2016,Mcomeau,31,TR,3,3,f,37,,,,,,,,0,0
TR,33,3,8,2016,Mcomeau,31,TR,3,7,m,54,,,,,,,,0,0
TR,34,3,8,2016,Mcomeau,31,TR,3,7,f,48,,,,,,,,0,0
TR,35,3,8,2016,Mcomeau,31,TR,3,9,,,,,,,,,,0,0
TR,36,3,8,2016,Mcomeau,31,TR,3,11,f,58,,,,,,,,0,0
TR,37,3,8,2016,Mcomeau,31,TR,3,11,m,53,,,,,,,,0,0
TR,38,3,8,2016,Mcomeau,31,TR,3,12,,,,,,,,,,0,0
TR,39,3,8,2016,Mcomeau,31,TR,3,13,f,48,,,,,,,,0,0
TR,40,3,8,2016,Mcomeau,31,TR,3,13,f,34,,,,,,,,0,0
TR,41,3,8,2016,Mcomeau,31,TR,3,14,,,,,,,,,,0,0
TR,42,3,8,2016,Mcomeau,31,TR,3,17,f,52,,,,,,,,0,0
TR,43,3,8,2016,Mcomeau,31,TR,3,17,f,27,,,,,,,,0,0
TR,44,3,8,2016,Mcomeau,31,TR,3,18,f,75,,,,,,,,0,0
TR,45,3,8,2016,Mcomeau,31,TR,3,18,m,47,,,,,,,,0,0
TR,46,3,8,2016,Mcomeau,31,TR,3,18,m,58,,,,,,,,0,0
TR,47,3,8,2016,Mcomeau,31,TR,3,19,,,,,,,,,,0,0
TR,48,3,8,2016,Mcomeau,31,TR,3,20,f,28,,,,,,,,0,0
TR,49,3,8,2016,Mcomeau,31,TR,3,20,m,42,,,,,,,,0,0
TR,50,3,8,2016,Bcomeau,31,TR,3,2,f,47,,,,,,,,0,0
TR,51,3,8,2016,Bcomeau,31,TR,3,2,f,49,,,,,,,,0,0
TR,52,3,8,2016,Bcomeau,31,TR,3,6,,,,,,,,,,0,0
TR,53,3,8,2016,Bcomeau,31,TR,3,7,m,60,,,,,,,,0,0
TR,54,3,8,2016,Bcomeau,31,TR,3,10,m,53,,,,,,,,0,0
TR,55,3,8,2016,Bcomeau,31,TR,3,11,m,47,,,,,,,,0,0
TR,56,3,8,2016,Bcomeau,31,TR,3,12,,,,,,,,,,0,0
TR,57,3,8,2016,Bcomeau,31,TR,3,13,,,,,,,,,,0,0
TR,58,3,8,2016,Bcomeau,31,TR,3,14,f,46,,,,,,,,0,0
TR,59,3,8,2016,Bcomeau,31,TR,3,15,m,30,,,,,,,,0,0
TR,60,3,8,2016,Bcomeau,31,TR,3,16,f,62,,,,,,,,0,0
TR,61,3,8,2016,Bcomeau,31,TR,3,16,m,72,,,,,,,,0,0
TR,62,3,8,2016,Bcomeau,31,TR,3,16,m,37,,,,,,,,0,0
TR,63,3,8,2016,Bcomeau,31,TR,3,17,m,48,,,,,,,,0,0
REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
TR,1,26,7,2017,Mcomeau,33,TR,1,1,f,47,,,,,,,,0,0
TR,2,26,7,2017,Mcomeau,33,TR,1,1,f,60,,,,,,,,0,0
TR,3,26,7,2017,Mcomeau,33,TR,1,4,m,56,,,,,,,,0,0
TR,4,26,7,2017,Mcomeau,33,TR,1,5,f,29,,,,,,,,0,0
TR,5,26,7,2017,Mcomeau,33,TR,1,6,f,48,,,,,,,,0,0
TR,6,26,7,2017,Mcomeau,33,TR,1,6,f,43,,,,,,,,0,0
TR,7,26,7,2017,Mcomeau,33,TR,1,12,m,33,,,,,,,,0,0
TR,8,26,7,2017,Mcomeau,33,TR,1,13,f,39,,,,,,,,0,0
TR,9,26,7,2017,Mcomeau,33,TR,1,13,m,40,,,,,,,,0,0
TR,10,26,7,2017,Mcomeau,33,TR,1,13,f,33,,,,,,,,0,0
TR,11,26,7,2017,Mcomeau,33,TR,1,14,m,41,,,,,,,,0,0
TR,12,26,7,2017,Mcomeau,33,TR,1,15,f,61,,,,,,,,0,0
TR,13,26,7,2017,Mcomeau,33,TR,1,15,m,70,,,,,,,,0,0
TR,14,26,7,2017,Mcomeau,33,TR,1,17,f,45,,,,,,,,0,0
TR,15,26,7,2017,Mcomeau,33,TR,1,17,m,50,,,,,,,,0,0
TR,16,26,7,2017,Mcomeau,25,TR,2,1,f,65,,,,,,,,0,0
TR,17,26,7,2017,Mcomeau,25,TR,2,1,m,32,,,,,,,,0,0
TR,18,26,7,2017,Mcomeau,25,TR,2,1,m,42,,,,,,,,0,0
TR,19,26,7,2017,Mcomeau,25,TR,2,2,m,39,,,,,,,,0,0
TR,20,26,7,2017,Mcomeau,25,TR,2,2,m,64,,,,,,,,0,0
TR,21,26,7,2017,Mcomeau,25,TR,2,3,m,58,,,,,,,,0,0
TR,22,26,7,2017,Mcomeau,25,TR,2,3,m,36,,,,,,,,0,0
TR,23,26,7,2017,Mcomeau,25,TR,2,12,m,76,,,,,,,,0,0
TR,24,26,7,2017,Mcomeau,25,TR,2,12,f,58,,,,,,,,0,0
TR,25,26,7,2017,Mcomeau,31,TR,3,1,m,42,,,,,,,,0,0
TR,26,26,7,2017,Mcomeau,31,TR,3,2,m,44,,,,,,,,0,0
TR,27,26,7,2017,Mcomeau,31,TR,3,6,f,39,,,,,,,,0,0
